title,content,keywords
听过多闪，你听过CambridgeAnalytica吗？,互联网公司的口水战看了不少，这么快出结果的还是第一次。\n今天下午，天津滨海新区人民法院公布“抖音、多闪涉嫌违规使用用户数据”的裁定结果：\n北京微播视界科技有限公司立刻停止将微信/QQ开放平台为抖音提供的已授权微信/QQ的登录服务提供给多闪使用，并不得以类似方式将其提供给抖音以外的应用使用。\n简单来说：原告腾讯胜诉。\n事情需要从昨天说起。\n3月19日晚间，多闪向用户推送了这么一条“特别提示”：\n腾讯公关总监张军表示：“微信/QQ从未授权多闪使用登录服务”，多闪是非法获取数据。\n一个多小时后，多闪官方微博用一个三段式作出回应：多闪的微信用户数据来自抖音。\n一来二去，我们可以给这场口水战的争议点做个总结：\n多闪从抖音获取微信用户数据是否合法，双方各执一词\n当然，今天下午的裁定结果显然直接为争端定了性：\n超范围和违规使用用户数据违法。\n法院裁定结果一出，联想到昨晚不少用户直言腾讯“不开放”“垄断”的态度其实相当玩味。\n关于多闪和腾讯的故事，其实在大洋彼岸，早就已经上演过，我说的是去年Facebook泄露门中的CambridgeAnalytica。\n2014年时，亚历山大·科根创建了一款名为“thisisyourdigitallife”的程序，准确地说应该是一款社交小游戏。\n这款游戏的卖点在于“测性格，领奖金”。简单来说，用户只需要回答一堆娱乐性质的心理测试题，就可以获得5美元的奖金。\n当然，按照惯例，这款游戏和微博、微信小游戏一样，前提是需要Facebook授权登录，并获得相应的用户头像、昵称、好友列表等信息；另外，同意其收集你的数据用于学术研究。\n事实证明，大部分用户对于“授权”这件事，是相当无所谓的。\n反正都要玩，这里还有奖金可以领。“thisisyourdigitallife”短时间内便有27万人参与了这款游戏，而通过关系链分析，最终被成功收集数据的用户总量达到5000万以上。\n换言之，至少有4973万人，并没有授权让这款“thisisyourdigitallife”收集自己的个人信息。\n亚历山大·科根为什么要收集5000万人的个人信息呢？这需要从一项研究成果说起。\n2013年，剑桥心理学学者迈克·科金斯基、大卫·史迪威尔和索尔·格雷普合作而成的研究成果在《美国国家科学院院刊》发表，这就是五型人格测量工具：\n通过调查问卷，并将其结果与受试者在互联网中的各种数据交叉比对，便能找出相关性。\n能得出的结论包括受试者宗教、智力水平、饮酒习惯、家庭情况等；效率之高。甚至能根据用户平均每68个在Facebook的点赞，推测出该用户肤色、性向、支持民主党还是共和党，准确率分别达到95％、88％和85％。\n然后，这款工具被核心业务是影响选举的剑桥分析盯上了。\n作为真正的始作俑者，剑桥分析（CambridgeAnalytica）的接了一单来自美国共和党的金主的大活。彼时正值2014美国大选，所以金主砸出1500万美元希望剑桥分析：\n开发一个分析工具，通过了解选民心理情况和政治倾向，影响他们的投票决策。\n剑桥分析彼时并没有足够的实力揽下这个大活，一方面需要海量的选民资料，另一方面即使拿到数据也得不出什么结果。\n归根结底，一没数据，二没算法。\n不过，剑桥分析砸下80万美元勾搭上了同在剑桥大学研究心理学的亚历山大·科根。所以，拉科金斯基入伙虽然不成，但通过频繁的“学术沟通”，亚历山大·科根复制了五型人格测量工具的研究成果。\n依葫芦画瓢，亚历山大·科根拿出了上文提到的那款“thisisyourdigitallife”，以“学术研究”的名义拿到了5000万人的数据，建立起了精准的算法模型。\n算法模型能通过用户行为，计算出用户性格、喜好、政治倾向，以此为用户打上标签，推送定制化政治讯息。\n比如，特朗普团队就为了阻止潜在选民支持希拉里，在海地裔黑人聚居区针对性投放，海地发生地震后希拉里与丈夫的克林顿基金会滥用救灾款的信息。\n因为只有符合标签的选民才能在Facebook的时间轴中看到，更容易引起共鸣，所以政治价值更高，实现对大选结果间接或直接的影响。\n事件曝出后，Facebook当年处理隐私泄露的措施也一并被曝光：\n屏蔽“thisisyourdigitallife”游戏；发律师函要求剑桥分析销毁数据；\n如今看来，Facebook的处理态度全可以定义为敷衍了事，也直接导致了之后的市值蒸发和全民抵制。\n联系起这一次的“头腾事件”，其实反映出一些趋势。\n首先，在隐私保护机制这样的技术层面，平台有权保障用户个人隐私。\n对于“用户数据到底能生成精度如何的用户画像”，用户完全没有一个清晰的概念。这一点，只需要关注一下各大社交平台上，用户对于“大数据杀熟”这类话题的吐槽就能看出，平台与用户之间天然就是信息不对称的。\n那些玩“thisisyourdigitallife”的用户，对于什么五型人格测量工具一概不知。直觉上，不过是填了一些无关痛痒的小测试，最多做一下“学术研究”，殊不知已经为矫正模型做出了贡献。\n所以，对于平台而言，保护用户隐私本就是其作为占据信息优势的一方的分内之事。当然，平台可以选择不履行这项权利，结果可以参考大洋对岸巡回道歉的小扎。\n其次，隐私保护需要“有罪推定”。\n隐私保护与产品开发不同，不可能“小步快跑，快速迭代”。\n站在在微信一方，基于对用户信息的保护，并没有授权多闪的微信登录。多闪的做法却是，绕过微信从抖音拿到了用户的微信资料。\n换句话说，不排除有人不介意微信用户资料同步到多闪，但对于介意微信资料泄露的用户，多闪如何能证明并没有接触微信数据呢？\n毕竟，在目前的技术发展趋势下，通过分享链接、群互动等各种方式的数据抓取，建立起一个用户的关系链已经越来越容易。防范措施永远都是慢于侵权手段的。\n最后想说，作为社交产品，开放永远是放在第一位的。这一点上，大公司永远比吃瓜群众看得清楚。“微信登录”功能最大的受益者永远是腾讯自己，永远牢牢地把用户攥在自己手上。所以，以“垄断”为名的仗，还能打几次呢？\n,
AI骗走173万：伪造老板声音要求转账，赃款几经易手，骗子无影无踪,编者按：本文来自微信公众号“量子位”（ID：QbitAI），作者郭一璞，36氪经授权发布。原题目《AI骗走173万，伪造老板声音要求转账，这家公司上当了，赃款几经易手，骗子无影无踪》\n“来我办公室一趟。”\n“您哪位啊？”\n“啥？你听不出来我是谁吗？”\n“是……张总吗？”\n接着，就会发现电话那头的“张总”，让你去找财务部的同事，然后以“陪客户”、“联络高层”的由头，要求给一个陌生账号汇款……\n你也接到过类似的电话吧？这个诈骗套路关键的一环就在于，你要把他的声音听成自己公司某个老板的声音。\n好在，大部分人不会听错，因此也不会上当受骗。\n但现在，借助AI语音合成技术，骗子可以让他的声音和你老板一模一样，并且一家英国公司真的上当受骗了，被骗走了22万欧元（173万人民币）巨款。\n案发过程\n据《华尔街日报》报道，总部位于巴黎的保险公司裕利安宜（EulerHermes）的一家客户上当了。\n这家客户是总部位于英国的一家能源公司，该公司的母公司位于德国，英国的是子公司。\n一天，英国子公司CEO接了母公司“老板”电话，毕竟母公司是德国的，因此母公司老板日常说英文的时候会有德国腔。英国子公司CEO一听，来电人的英语带点德国口音，跟母公司的老板一毛一样，那就是老板本人了。\n原来，德国“老板”在跟“匈牙利供应商”谈生意，账要从英国的子公司走，也就是英国子公司把钱打给“匈牙利供应商”，德国的母公司后续再给英国子公司补上。\n德国“老板”要求的时间紧任务重，必须在一个小时之内给“匈牙利供应商”的账户打22万欧元，折合人民币173万元。\n钱打过去之后，在当天稍晚的时候，“老板”又打电话来了。这次“老板”说，刚才那22万欧元，德国的母公司已经给英国子公司转过去了，现在需要英国子公司再转一笔钱。\n这下英国子公司的人就觉得不对劲了。一方面，“老板”转的钱没到账；另一方面，怎么“老板”这次是从奥地利打过来的电话呢？\n虽然英国子公司没有第二次上当受骗，但之前打的22万欧元已经回不来了。调查人员发现，这22万欧元打到“匈牙利供应商”的匈牙利账户之后，被转到了墨西哥，之后转到了其他地方，因此警察也找不到骗子在哪儿。\n裕利安宜保险公司要给客户保密，没有透露这是哪家公司，最后他们按照英国子公司的要求给予了理赔。\n语音克隆技术相当成熟\n这家受骗公司遭遇的核心问题，在于打来的电话实在太像母公司那个真正的老板了。\n骗子本人是不太可能刚好是这个声音的，而能让老板的声音出现，并且说出特定的话，用到的是语音克隆或者语音合成技术。\n语音克隆技术已经有了许多应用，比如此前，搜狗输入法就在终端推出了“变声”功能，你对着手机说一句话，发送给好友之后就是林志玲、周星驰、高晓松等明星的声音。\n在今年的科大讯飞新品发布会上，就现场播报了合成的罗永浩和林志玲的声音。\n语音合成就更成熟了，你常用的百度地图、高德地图里，导航用的林志玲、易烊千玺等明星的语音包，都是用明星本人说的话做语料库训练，通过语音合成技术生成的。\n甚至，今年315晚会上的AI打骚扰电话，打来电话的声音也是语音合成的。\n如果你想体验一下语音克隆的效果，可以试试最近在GitHub上非常火的这个实时语音克隆的开源项目：\nReal-Time-Voice-Cloning\nhttps://github.com/CorentinJ/Real-Time-Voice-Cloning\n项目中已经给出了预训练模型，下载到本地部署后，每次只要5秒钟，就可以把另外一个人说的话，变成你的声音。\n也是因此，语音类的技术易得、易用，效果也不错，被坏人盯上也是难免的。\n声音造假，开视频验证呢？\n以前的电信诈骗都是短信、微信文字，上当者会被银行工作人员提醒：打个电话确认一下。\n现在，恐怕不仅要打电话，还要视频一下，以确保是本人了。然而，现在的一些AI技术，不仅可以合成特定人的语音，甚至还能根据语音对口型、处理视频。\n还可以把录好的视频改掉。斯坦福和普林斯顿的这篇《Text-basedEditingofTalking-headVideo》论文中，录好的说话视频，可以把声音、口型全部改掉：\n苹果今日收盘价191块4，改成182块2你也看不出来。\n也可以让照片中的人物边说话边配上丰富的表情姿态。来自三星和俄罗斯斯科尔科沃科学技术研究所的这篇名为《Few-ShotAdversarialLearningofRealisticNeuralTalkingHeadModels》的论文中发表的技术，就让静态的蒙娜丽莎：\n变得活灵活现：\n要知道，类似的AI技术有不少都是开源的，如果被用在恶意用途上，被用来混淆视听、诈骗，将造成极大的恶果。\n实在不行，用AI来抓AI骗子\n不管是处理语音、图片还是视频，这些技术开发出的新功能一般都被认为能在帮助人类节省时间、提升乐趣等方面起到作用。\n但是，拿来作恶的也不少。可能让人名誉扫地的AI换脸应用、可能侵犯隐私的人脸识别、加上如今的AI诈骗，技术总有其两面性。\n正如AAAI前主席SubbaraoKambhampati看到这则消息之后的评论：\n我很震惊语音技术会被用于这种邪恶的目的！百度不是明确的告诉过我们，语音技术是用来让忙碌的妈妈给娃唱摇篮曲的嘛？\n也有人提出，以AI制AI可能是个不错的方法：\n我们需要人工智能辅助网络安全框架来解决人工智能驱动的网络犯罪问题\n最后，要是你接到了听起来和老板声音一样的电话，会用什么方法去辨别呢？\n参考链接：\nhttps://www.wsj.com/articles/fraudsters-use-ai-to-mimic-ceos-voice-in-unusual-cybercrime-case-11567157402\n,
有人用AI冒充老板打电话，骗走这家公司173万,本文来自微信公众号：\n量子位（ID：QbitAI）\n，作者：郭一璞，封面：视觉中国\n“来我办公室一趟。”\n“您哪位啊？”\n“啥？你听不出来我是谁吗？”\n“是……张总吗？”\n接着，就会发现电话那头的“张总”，让你去找财务部的同事，然后以“陪客户”“联络高层”的由头，要求给一个陌生账号汇款……\n你也接到过类似的电话吧？这个诈骗套路关键的一环就在于，你要把他的声音听成自己公司某个老板的声音。\n好在，大部分人不会听错，因此也不会上当受骗。\n但现在借助AI语音合成技术，骗子可以让他的声音和你老板一模一样，并且一家英国公司真的上当受骗了，被骗走了22万欧元（173万元人民币）巨款。\n案发过程\n据《华尔街日报》报道，总部位于巴黎的裕利安宜（EulerHermes）是一家保险公司，其一家客户上当了。\n这家客户是总部位于英国的能源公司，该客户的母公司位于德国，英国的是子公司。\n一天，英国子公司CEO接了母公司“老板”电话，毕竟母公司是德国的，因此母公司老板日常说英文的时候会有德国腔。英国子公司CEO一听，来电人的英语带点德国口音，跟母公司的老板一模一样，那就是老板本人了。\n原来，德国“老板”在跟“匈牙利供应商”谈生意，账要从英国的子公司走，也就是英国子公司把钱打给“匈牙利供应商”，德国的母公司后续再给英国子公司补上。\n德国“老板”说时间紧任务重，必须在一个小时之内给“匈牙利供应商”的账户打22万欧元，折合人民币173万元。\n钱打过去之后，在当天稍晚的时候，“老板”又打电话来了。这次“老板”说，刚才那22万欧元，德国的母公司已经给英国子公司转过去了，现在需要英国子公司再转一笔钱。\n这下英国子公司的人就觉得不对劲了。一方面，“老板”转的钱没到账；另一方面，怎么“老板”这次是从奥地利打过来的电话呢？\n虽然英国子公司没有第二次上当受骗，但之前打的22万欧元已经回不来了。调查人员发现，这22万欧元打到“匈牙利供应商”的匈牙利账户之后，被转到了墨西哥，再之后转到了其他地方，因此警察也找不到骗子在哪儿。\n裕利安宜保险公司要给客户保密，没有透露这是哪家公司，最后他们按照英国子公司的要求给予了理赔。\n语音克隆技术相当成熟\n这家受骗公司遭遇的核心问题，在于打来的电话实在太像母公司那个真正的老板了。\n骗子本人是不太可能刚好是这个声音的，而能让老板的声音出现，并且说出特定的话，用到的是语音克隆或者语音合成技术。\n语音克隆技术已经有了许多应用，比如此前，搜狗输入法就在终端推出了“变声”功能，你对着手机说一句话，发送给好友之后就是林志玲、周星驰、高晓松等明星的声音。\n在今年的科大讯飞新品发布会上，就现场播报了合成的罗永浩和林志玲的声音。\n语音合成就更成熟了，你常用的百度地图、高德地图里，导航用的林志玲、易烊千玺等明星的语音包，都是用明星本人说的话做语料库训练，通过语音合成技术生成的。\n甚至，今年315晚会上的AI骚扰电话，打来电话的声音也是语音合成的。\n如果你想体验一下语音克隆的效果，可以试试最近在GitHub上非常火的这个实时语音克隆的开源项目Real-Time-Voice-Cloning。\n项目中已经给出了预训练模型，下载到本地部署后，每次只要5秒钟，就可以把另外一个人说的话，变成你的声音。\n正因为是这样，语音类的技术易得、易用，效果也不错，被坏人盯上也是难免的。\n声音能造假，开视频验证呢？\n以前的电信诈骗都是短信、微信文字，上当者会被银行工作人员提醒：打个电话确认一下。\n现在，恐怕不仅要打电话，还要视频一下以确保是本人了。然而，现在的一些AI技术，不仅可以合成特定人的语音，甚至还能根据语音对口型、处理视频。\n可以让人物的静态照片动起来，并且说出特定的话。帝国理工学院和三星这篇题为RealisticSpeech-DrivenFacialAnimationwithGANs的论文，就用了不少明星静态照片：\n直接生成说话、唱歌的动态视频：\n点开视频听一听，是不是表情口型毫无违和感？\n您目前设备暂不支持播放\n甚至可以把录好的视频改掉。斯坦福和普林斯顿的这篇Text-basedEditingofTalking-headVideo论文中，录好的说话视频，可以把声音、口型全部改掉：\n您目前设备暂不支持播放\n苹果今日收盘价191块4，改成182块2你也看不出来。\n也可以让照片中的人物边说话边配上丰富的表情姿态。来自三星和斯科尔科沃科学技术研究所的这篇题为Few-ShotAdversarialLearningofRealisticNeuralTalkingHeadModels的论文中提到的技术，就让静态的蒙娜丽莎动态化：\n变得活灵活现：\n要知道，类似的AI技术有不少都是开源的，如果被用在恶意用途上，被用来混淆视听、诈骗，将造成极大的恶果。\n实在不行，用AI来抓AI骗子\n不管是处理语音、图片还是视频，这些技术开发出的新功能一般都被认为能在帮助人类节省时间、提升乐趣等方面起到作用。\n但是，拿来作恶的也不少。可能让人名誉扫地的AI换脸应用、可能侵犯隐私的人脸识别、加上如今的AI诈骗，技术总有其两面性。\n正如AAAI前主席SubbaraoKambhampati看到这则消息之后的评论：\n“我很震惊语音技术会被用于这种邪恶的目的！百度不是明确的告诉过我们，语音技术是用来让忙碌的妈妈给娃唱摇篮曲的嘛？”\n也有人提出，以AI制AI可能是个不错的方法：\n“我们需要人工智能辅助网络安全框架，来解决人工智能驱动的网络犯罪问题。”\n最后，要是你接到了听起来和老板声音一样的电话，会用什么方法去辨别呢？\n参考链接：https://www.wsj.com/articles/fraudsters-use-ai-to-mimic-ceos-voice-in-unusual-cybercrime-case-11567157402\n本文来自微信公众号：\n量子位（ID：QbitAI）\n，作者：郭一璞，封面：视觉中国\n,
MIT微笑標章產品9月起納入環保集點品項,環保集點好康越來越多，行政院環保署長張子敬今天宣布，MIT微笑標章產品從9月1日起納入環保集點品項，民眾不論是搭乘大眾運輸、公共自行車、參加環保活動都可以得到點數回饋，而點數也可以循環用在購買環保產品、惜食餐廳消費、環保標章服務業、環教設施場所、國家森林遊樂區等，讓環保集點活動可以全面在「食、衣、住、行」各方面推動。\n張子敬表示，環保署從9月時推出周周抽百萬綠點、購買指定品項即贈2000點的新活動，微笑標章產品更與原有品項同享既有的周休二日綠點10倍送回饋，為環保集點注入新的活力，也讓環保集點活動成為市面上最優惠的集點系統。\n推薦\n環保署今天舉行「微笑地球精彩綠活」記者會，張子敬與工業局長呂正華，也共同呼籲國內通路業者支持環保集點共享點數商機，不但可提升產品製造業者申請微笑標章、環保標章或碳足跡標籤的誘因，促進綠色經濟循環。\n工業局長呂正華表示，環保集點制度新增成衣服飾、織襪、毛巾、鞋類及小家電等814款MIT微笑產品，加計原綠刀色商品共有1858款，買MIT微笑產品，就是愛地球，更能友持在地產業發展，鼓勵國內消費者多多購買。\n環保署表示，為了鼓勵業者生產綠色產品，從81年起推動環保標章，目前有超過120項的規格標準，市面上已經有約4500件的合格標章產品。多年來環保署也推動機關、民間企業的綠色採購，以及綠色商店，促進環保產品的生產及選購，根據統計，去年綠色採購金額達840億元，統計發現民間綠色採購金額是政府綠色採購的7倍以上。\n環保署表示，目前全國電子、大潤發、愛買、萊爾富、統一超商、東森購物網都是環保集點特約通路商，環保標章及碳足跡標籤產品已有超過千件的品項，包括家電、清潔劑、保溫杯、文具、食品，各式各樣的日常生活用品提供會員以點數兌換，32萬名環保集點會員總集點量已經超過50億點。\n環保署也說，環保集點平台和通路、電子發票結合，不須申請新的卡片，只要將電子票證、通路會員卡等，到平台網頁或手機App申請註冊會員並把卡片登記，環保集點網站公布的千項以上商品都可以讓你集到綠點，之後也可以用綠點去折價，回饋價值最高10%，是市面上最優惠的點數系統；另外，針對喜歡喝咖啡的朋友，環保署也持續推出在超商自備環保杯可以使用綠點限量兌換咖啡的活動。\n環保署長張子敬(左)及工業局長呂正華(右)體驗綠點兌換功能。圖／環保署提供\nfacebook\n,
交警队体检太形式了吧,PoweredbyDiscuz!X3.4\n,
全是小红单昨天跑了买九鼎多好别被这主力当猴子耍不踩五日线盘几天怎么起得来现在是一,全是小红单\n昨天跑了买九鼎多好\n别被这主力当猴子耍\n不踩五日线盘几天怎么起得来\n现在是一年新高\n压力大得很\n,
【1813】合景泰富8月預售額增14.1%,合景泰富(01813)公布，8月份，預售金額61.71億元(人民幣，下同)，按年增加14.1%。\n期內，預售建築面積約34.2萬平方米，同比增加20.4%。(sl)\n,
元旦小长假我县接待游客4.2万人-英山网,"英山网-英山人就上英山网,英山县最具影响力新闻网络媒体!\n",
廉政教育日：各单位开展形式多样的廉政教育活动-英山网,"英山网-英山人就上英山网,英山县最具影响力新闻网络媒体!\n",
曲周县白寨乡乡长2018汽车服务金扳手奖候选品牌:广汽本田_本田汽车10万元以下_企业标杆广汽本田宣传海报_广汽本田汽车有限公司官网-汽车-曲周头条,理念：今后，曲周县白寨乡乡长人与汽车的关系会发作怎样样的扭转？过去，汽车只是移开工具，此刻，电动化，互联化时代的来临，汽车将开启为人类提供全新效劳的多种能够。玩乐、出行、购物……是的！所有都在转变。今天的不能够，或者正是理念追赶的未来。来吧，曲周县城招工让咱们一等同待，变焕。\n喜悦金融效劳：旨在为客户提供丰盛的金融产品、业余的金融效劳，满足客户的购车须要，提高客户满意度。\n流动：\n1、在“环境维护”和“低碳生存”成为寰球性课题之际，广汽本田自动照应召唤，从2005年末尾就持续展开绿色特约销售效劳店树立，放大“三废”和碳排放，曲周县城租房贡献社会。截至目前，已建成绿色特约销售效劳店272家。\n2、广汽本田不时努力于推动汽车安全事业的开展，在提供愈加安全的汽车产品的同时，也努力于降职顾客的安全看法和安驾技艺，共建人、车、城市的安全与调和。经过活期展开安全驾驶方面的车主课堂和体验营流动，向顾客讲授安全驾驶理念，造就顾客安全驾驶的习气，赢得顾客与社会的信任。\n品牌二手车广汽本田喜悦二手车\n2007年4月20日，广汽本田正式启动“喜悦二手车”品牌，仰仗业余技术劣势和诚信运营为客户提供置换、认证及销售等效劳。不只带给顾客与世界同步质量保障，其诚信的效劳更能让顾客感遭到“决计、省心、悦心”三心效劳，与用户一同独特分享广汽本田的喜悦之道。\n决计买卖：经过广汽本田业余的培训，停止规范的操作、透明的报价让用户在广汽本田停止置换时倍感决计，决计买卖。\n省心效劳：抉择广汽本田喜悦二手车置换，为用户节俭出解决二手车冗杂手续的贵重时间与精神，利用户享遭到一站式的省心效劳。\n悦心体验：广汽本田喜悦二手车置换业务是为了促成新车销售，并不是以盈利为主要目标。为用户制勘误当实惠的价钱，还有优先提车的优惠，让用户悦心置换。\n品牌保险\n“喜悦延保”是广汽本田为车主精心设计的汽车延伸保修效劳，用户可用最低的老本在原厂三年/十万公里全车保修的基础上再添加两年/四万公里的全车保修！抉择“喜悦延保”，用户可提早锁定您爱车培修老本；抉择“喜悦延保”，还可获得广汽本田特约店业余、贴心的培修效劳，利用原厂副品零部件；抉择“喜悦延保”用户可降职爱车的二手车价值！\n()\n帆帆布鞋批发市场帆布鞋市场在哪里..\n帆布鞋批发市场帆布鞋市场在哪里...2018年11月28日\nwww.tiaomu.com/b/12/21389.html\n徐徐州建材批发市场徐州建材市场有哪些..\n徐州建材批发市场徐州建材市场有哪些...2018年11月28日\nwww.tiaomu.com/b/12/21971.html\n服服装店名设计..\n服装店名设计...2018年11月28日\nwww.tiaomu.com/b/12/22246.html\n潍潍坊汽配批发市场潍坊汽配城在哪里..\n潍坊汽配批发市场潍坊汽配城在哪里...2018年11月28日\nwww.tiaomu.com/b/12/21965.html\n高高跟鞋批发市场高跟鞋批发市场在哪里..\n高跟鞋批发市场高跟鞋批发市场在哪里...2018年11月28日\nwww.tiaomu.com/b/12/21425.html\n中中国新闻网..\n中国新闻网...2018年11月28日\nwww.tiaomu.com/b/1/2018-11-28/56546.html\n凯凯越改装方案..\n凯越改装方案...2018年11月29日\nwww.tiaomu.com/b/3/2018-11-29/14007.html\n,
