数据源,title,content
网站,"Apple, Google, Amazon eye common standard for smart home devices","Will Amazon's Alexa, Apple's Siri and Google Assistant finally get along?   The major digital assistants could operate on a common technology standard under a plan announced Wednesday by Amazon, Apple and Google and other industry partners that aims to enable more smart home devices to speak to each other.  Google pushes deep into hardware with new Wifi, Chromecast, Home, and Pixel smartphone devices at a press event in San Francisco, California on October 4, 2016. [Photo: AFP]  The goal of the plan would be to allow developers to build new products without paying royalties for connectivity software, and enabling consumers to then choose their preferred voice assistants on the devices.  The project ""aims to improve the consumer experience of trying to use smart home products that aren't compatible with each other,"" according to a statement by the new working group.  ""We believe that the protocol has the potential to be widely adopted across home systems and assistants such as Google Assistant, Amazon Alexa, Apple's Siri, Google Assistant, and others.""  The new project also includes the Zigbee Alliance, a separate effort to develop a common wireless standard for connected devices that includes manufacturers such as Samsung, retailers such as Ikea and other tech firms, including Texas Instruments and NXP Semiconductors.  ""The industry working group will take an open-source approach for the development and implementation of a new, unified connectivity protocol,"" the statement said.  ""The project intends to use contributions from market-tested smart home technologies from Amazon, Apple, Google, Zigbee Alliance, and others.""  The worldwide market for smart home devices is expected to reach nearly 815 million devices this year, up 23 percent from 2018, according to the research firm IDC, and 1.39 billion by 2023.  - Helping developers -  The initiative called ""Project Connected Home over IP"" could promote more smart home products, making it easier for developers of products ranging from smart refrigerators to voice-activated lightbulbs, who are now forced to choose among various standards.  ""Developers and consumers will benefit from this new universal smart home connectivity standard,"" engineers Nik Sathe and Grant Erickson of Google Nest, the connected home division of the tech giant, said in a statement.  ""For developers, it simplifies product development and reduces costs by giving them one standard for building their products. You will then have the power to choose how you want to control your homes, independent of which smart home technology you choose.""  They added that new smart home devices using this standard will be compatible with various platforms from Google, Amazon, Apple and others.  The move comes weeks ahead of the opening of the Consumer Electronics Show in Las Vegas, where tech firms will be showcasing thousands of smart home devices ranging from connected lightbulbs to toilets.  Analysts have said the market for these ""internet of things"" devices has been held back in part by the confusing array of different standards from the various manufacturers.  Avi Greengart of the consultancy Techsponential said the joint effort is a positive step but that it remains unclear if this can gain traction among the many makers of connected devices.  ""I'm hopeful because this is a good idea but I'm skeptical because good ideas don't always have an impact in the market,"" Greengart said.  The current market ""is really fragmented so getting some of the biggest names in consumer IoT and home automation is a step in the right direction but execution is key,"" Greengart added.  The analysts said the inclusion of Apple suggests the new standards could include improved privacy standards for the various devices which may be used for sensitive applications such as home security or baby monitoring.  ""If Apple is backing this it's likely it can be implemented in a secure way,"" he said. ""Security and privacy are top of mind for these companies."""
网站,"Apple to Give Employees Free Apple Music, Apple TV+, Apple Arcade Starting in January [Report]","Apple is planning to give retail employees free access to Apple Music, Apple TV+, and Apple Arcade starting in January, according to 9to5Mac.  The freebie will help Apple retail store sales staff learn about Apple’s slate of services and make it easier for them to explain Apple’s offerings to customers. Apple has rolled out this tactic in the past on occasion, like discounting employee Apple Watch purchases in 2015.  The site says free access to these services will be limited to the employees themselves. Family Sharing will not be possible.  It's still unclear if this offer will be available to every Apple Store employee or just those in sales positions.  Please download the iClarified app or follow iClarified on Twitter, Facebook, YouTube, and RSS for updates.  Read More"
网站,Apple Publishes Apple Platform Security,Apple Publishes New Apple Platform Security Guide   Apple Publishes New Apple Platform Security Guide by @waxeditorial   Apple Publishes New Apple Platform Security Guide $AAPL
网站,"Apple Offers Discount On Apple Arcade, But There's A Catch","KEY POINTSApple is now offering a new subscription option to Apple ArcadeThe annual subscription option allows Apple Arcade users to save as much as $10 compared to monthly subscriptionYearly subscription to Apple Arcade only costs $49.99 while monthly subscription costs $5  The Cupertino tech juggernaut this week launched a new annual subscription alternative in Apple Arcade, the company's video game streaming service. The latest offering includes unlimited access to an extensive and growing library of premium mobile games, but you have to subscribe for 12 months to avail of the discounted price.   The new annual subscription of Apple Arcade costs $49.99, which saves subscribers around $10 if they opt to subscribe to the video game streaming service every month. To access the new subscription offer, simply go to the Account tab in the iOS App Store, tap in the upper right-hand corner, and tap Subscriptions.   Following its official unveiling last March, Apple Arcade was released in September with more or less 100 titles, and more games being added in its library each month. So far, the Cupertino tech giant's game streaming service has received positive reviews partially due to the ads, the in-app purchase model, and the low subscription cost of $5 every month. These strategies further reinforce Apple's already strong value proposition.   Apple Arcade could bring more consumers to online games with its low monthly price for unlimited play  Photo: GETTY IMAGES / Michael Short  It took the Cupertino tech giant almost a couple of years before it introduced a yearly subscription for Apple Music, which was initially launched in June 2015. The service discount the Apple Arcade offers aright now is similar to that of Apple Music that costs $99 for compared to the monthly subscription of $10. Apple Music service is fundamentally more complicated since the company must contend with record labels that have licensing rights.  In the case of Apple Arcade, the company is assisting in the funding of some of the game developments and has far greater control over the terms of service. Apple TV+, which is the video streaming service of the Cupertino tech giant, was launched last month and also included a yearly subscription at the same price point as Apple Arcade, which is $50 a year. At present, Apple is giving away a free year of Apple TV+ subscription with hardware purchases.  Apple is getting more aggressive in offering its services, such as the Apple Arcade, Apple Music, and Apple TV+. Reports claim that this is the company's strategy to compensate for the drop in iPhone sales for this year."
网站,"Apple Store Employees Said to Receive Free Apple Arcade, Apple Music, and Apple TV+ Starting in January","- At least some Apple Store employees will receive free access to Apple Music, Apple TV+, and Apple Arcadestarting in January, according to 9to5Mac. The report claims the perk will be limited to individual use by the employees themselves, so if they ..."
网站,Apple Publishes New Apple Platform Security Guide,"Coinciding with the launch of its public bug bounty program, Apple today published its new Apple Platform Security guide, offering users details about the security technology and features that are implemented within Apple platforms – including sections on Mac for the first time.   The documentation has been updated to reflect changes in iOS 13.3, iPadOS 13.3, macOS 10.15.2, tvOS 13.3, and watchOS 6.1.1. The Apple Platform Security site also covers hardware and services, providing comprehensive information in a readable format on the following topics:   Hardware Security and Biometrics:  The hardware that forms the foundation for security on Apple devices, including the Secure Enclave, a dedicated AES crypto engine, Touch ID, and Face ID.System Security:  The integrated hardware and software functions that provide for the safe boot, update, and ongoing operation of Apple operating systems.Encryption and Data Protection:  The architecture and design that protects user data if the device is lost or stolen, or if an unauthorized person attempts to use or modify it.App Security:  The software and services that provide a safe app ecosystem and enable apps to run securely and without compromising platform integrity.Services Security:  Apple’s services for identification, password management, payments, communications, and finding lost devices.Network Security:  Industry-standard networking protocols that provide secure authentication and encryption of data in transmission.Developer Kits:  Frameworks for secure and private management of home and health, as well as extension of Apple device and service capabilities to third-party apps.Secure Device Management:  Methods that allow management of Apple devices, prevent unauthorized use, and enable remote wipe if a device is lost or stolen.Security Certifications and Programs:  Information on ISO certifications, Cryptographic validation, Common Criteria Certification, and the Commercial Solutions for Classified (CSfC) Program.  The site can be browsed from the Table of Contents at the top of the page, or a PDF of the documentation can be downloaded here.  Alongside its Platform Security site, Apple maintains a separate site covering the company’s approach to privacy, privacy controls on Apple devices, and the Apple privacy policy.   If users believe they have discovered a security or privacy vulnerability that affects Apple devices, software, services, or web servers, Apple encourages them to report it by sending an email to product-security@apple.com  along with any relevant videos, crash logs, and system diagnosis reports. More information on reporting a security or privacy vulnerability can be found here."
网站,Apple Store and AppleCare Employees to Receive Free Apple Arcade and Apple TV+ Starting January [Updated],"Update:  MacRumors has obtained what appears to be a legitimate internal bulletin from Apple that indicates both Apple Store and AppleCare support employees from levels S1-S5 will be eligible to receive free access to Apple Arcade and Apple TV+ starting January 6. The bulletin does not mention Apple Music.   Original story follows.   At least some Apple Store employees will receive free access to Apple Music, Apple TV+, and Apple Arcade starting in January, according to 9to5Mac.  The report claims the perk will be limited to individual use by the employees themselves, so if they wanted to use Family Sharing for any of the services, they would have to pay for a subscription on their own.   It is unclear based on the report if every Apple Store employee will be offered this perk or if the perk will available globally.   Apple can benefit from offering this perk by having more of its employees gain first-hand experience with three of its major services, which can be useful when interacting with customers. It’s unclear how long it will last.   Apple Store employees have been offered various perks over the years, such as 50 percent off the purchase of an Apple Watch in 2015."
网站,"Apple Store Employees Said to Receive Free Apple Arcade, Apple Music, and Apple TV+ Starting in January","At least some Apple Store employees will receive free access to   ,   , and   starting in January, according to   .   The report claims the perk will be limited to individual use by the employees themselves, so if they wanted to use Family Sharing for any of the services, they would have to pay for a subscription on their own.   It is unclear based on the report if every Apple Store employee will be offered this perk or if the perk will available globally.   Apple can benefit from offering this perk by having more of its employees gain first-hand experience with three of its major services, which can be useful when interacting with customers. It's unclear how long it will last.   Apple Store employees have been offered various perks over the years, such as   in 2015."
网站,Apple Highlights Apple Arcade Games Ahead of the Holidays,"Apple today shared a new Apple Arcade video that focuses on great games to play during the holidays in an effort to get new users to try out its gaming service.   Get ‌Apple Arcade‌ for the holidays, and your whole family can play with you. Tap the joystick icon on the App Store to start your one-month free trial.  Apple highlights top ‌Apple Arcade‌ games like What the Golf (which has been updated with new December levels), Cat Quest II, Super Impossible Road, Sneaky Sasquatch, Steven Universe Unleash the Light, Patterned, and Exit the Dungeon.  ‌Apple Arcade‌ is priced at $4.99 per month or $49.99 per year, and one subscription allows up to six family members to play through Family Sharing. For those who have not yet given ‌Apple Arcade‌ a try, there is a one-month free trial available."
网站,Today in Apple history: Apple crushes Think Secret rumors site,"Today in Apple history: Apple crushes Think Secret rumors site  By Luke Dormehl • 5:00 am, December 19, 2019  Cupertino's battle with a rumor site splits Apple fans.   Image: Ste Smith/Cult of Mac  December 19, 2007:  Apple settles a lawsuit with reporter Nick Ciarelli, resulting in the shuttering of Think Secret, his masssively popular Apple rumors website.  Writing under the screen name Nick de Plume, Harvard student Ciarelli had broken a number of Apple stories on the site, which he launched in the late 1990s.  The terms of Ciarelli’s settlement with Apple remain secret. In a statement, he says he will “be able to move forward with my college studies and broader journalistic pursuits.”  Apple drops the hammer on Think SecretAnyone who followed Apple news in the early 2000s probably read Think Secret. Although Ciarelli never revealed the source of his scoops, someone deeply entrenched at Apple (at least at one time) fed him a steady stream of accurate (or mostly accurate) reports about upcoming products.  These included unofficial screenshots of Mac OS X Leopard before Apple released the operating system. The straw that apparently broke the camel’s back, however, was a series of reports about an upcoming Macintosh and word processing software.  Think Secret reported these rumors in 2004. They were shown to be true when Steve Jobs debuted the Mac mini and iWork productivity suite at the January 2005 Macworld event in San Francisco.  Apple: The evil empire?  When Apple sued Think Secret for revealing trade secrets, opinion among Apple followers diverged wildly. Some saw the lawsuit as a violation of Apple’s generally friendly approach to cultivating fans. In short, as Apple climbed back to the top of the tech world, the company used its resources to crack down on a small-time journalist. (Steve Wozniak became the biggest name to ask Apple to call off the attack dogs.)  On a larger level, some viewed the lawsuit as proof that Apple opposed freedom of the press. These people worried that clamping down on the rumor mill would result in a sanitized world of Apple news. In this view, the only inside knowledge would come, either directly or indirectly, through Apple-sanctioned channels.  Others sided with Apple, arguing that the First Amendment does not protect publication of trade secrets. For those of this mindset, it made sense for Apple to go after employees who shared proprietary information with outsiders.  Apple’s war on rumors and Think SecretStopping such leaks of confidential information appears to have been Apple’s biggest goal in its war against bloggers at the time. The company took similar legal action against Apple Insider and O’Grady’s Powerpage.  Steve Jobs brought secrecy back to Cupertino when he returned to Apple in 1997. This triggered a big culture shock inside the company. During the early 1990s, Apple had been one of the more leak-heavy companies in Silicon Valley.  Think Secret publisher Ciarelli never shared details on the fallout from his legal battle with Apple. However, he claimed to be an Apple fan before and after the suit finished. According to LinkedIn, he currently works for BookBub, a company he co-founded in 2012. BookBub alerts readers to limited-time free and discounted ebooks matching their interests.  What was your introduction to the world of Apple rumors? Leave your comments below.  Sign up for our free Apple history email"
