,content,source,per,org,loc
0,idon‘twanttoknowwhatitis　　我姓王但不是社会王：接下来到了大家最熟悉的环节，那就是——詹姆斯的每周一疯,体育,[詹姆斯],[],[]
1,分笔11:11:563.001↑11:11:503.006↑11:11:472.9910↓11:11:353.003↑11:11:292.9949↓11:11:233.003↑11:11:023.001↑11:10:562.9984↓11:10:173.005↑11:09:293.004855↓报价卖五3.09861卖四3.08348卖三3.07741卖二3.061168卖一3.052977买一3.0434买二3.031459买三3.022123买四3.013425买五31634最新：3.05涨幅：1.33%涨跌：0.04换手率：0.57%成交量：9.09万手成交额：2733.24万元主力净流入：-342.59万元  9月4日，云南城投盘中快速反弹，5分钟内涨幅超过2%，截至13点20分，报3.05元，成交2733.24万元，换手率0.57%,体育,[],[云南城投],[]
2,北京时间9月4日，2019年篮球世界杯将展开小组赛末轮的争夺,体育,[],[],[北京]
3,上场比赛遗憾输球的中国男篮，将迎战委内瑞拉,体育,[],[中国男篮],[委内瑞拉]
4,亿万篮球迷将在今夜，为中国男篮打call加油，助威生死战,体育,[],[中国男篮],[]
5,男篮战死敌全面下风3年前曾惜败对手中国男篮曾与委内瑞拉交手过4次，战绩为0胜4负，全面落于下风,体育,[],[中国男篮],[委内瑞拉]
6,男篮生死战最强武器是三塔作为一支美洲球队，委内瑞拉有着自己鲜明的特点——个人冲击力强，个别球员投射能力不俗,体育,[],[],"[三塔, 美洲, 委内瑞拉]"
7,男篮两将盼爆发周琦迎来救赎之战小组赛次轮的惜败，对于中国男篮而言无疑是一记重创,体育,[周琦],[中国男篮],[]
8,在短短48小时的时间里，中国男篮首先需要迈过的是心理关，尤其是出现重大失误的周琦,体育,[周琦],[中国男篮],[]
9,上场比赛仅仅出战14分钟，便5犯离场的郭艾伦，同样也是无比渴望在关键战中展现自己的价值,体育,[郭艾伦],[],[]
10,该站赛事在中国常年举办，如今已经来到第17个年头，是级别最高的国际花样滑冰赛事之一,体育,[],[],[中国]
11,看上去内马尔的心情并未受转会的影响，他晒出了一张自己开怀大笑的照片，并且配文说“快乐鸭,体育,[内马尔],[],[]
12,曼联近期在比赛中出现了一些问题，无论是因为运气也好，因为战术也好，球队取得了三轮不胜这是不争的事实,体育,[],[曼联],[]
13,而马蒂奇为这条INS点赞了，现在另外一位不受重用的曼联中场也来了,体育,[马蒂奇],[曼联],[]
14,新赛季，弗雷德还没有获得哪怕一分钟的出场时间，这让球员非常不满，虽然索尔斯克亚曾说过会给弗雷德机会，但是联赛四轮过去了，索尔斯克亚依然没有给他一分钟时间,体育,"[弗雷德, 索尔斯克亚, 弗雷德, 索尔斯克亚]",[],[]
15,同时，林加德在球场上的表现非常挣扎，可以说他是曼联前场表现最差的一个，这种情况下为什么不能考虑给弗雷德时间呢,体育,"[林加德, 弗雷德]",[曼联],[]
16,整个比赛过程跌宕起伏，让美国球迷的小心脏承受了巨大的压力,体育,[],[],[美国]
17,赛后，没想到库兹马却无辜躺枪，被不满的美国球迷一个劲的喷,体育,[库兹马],[],[美国]
18,赛后，没想到库兹马却无辜躺枪，被不满的美国球迷一个劲的喷,体育,[库兹马],[],[美国]
19,来源:SMG编辑:丁雯佳发布:2019-9-413:25:15,体育,[丁雯佳],[],[]
20,对快船而言之，他们现在就是想重建,体育,[],[快船],[]
21,从这个赛季表现来说，哈里斯的表现让人没法挑剔，他场均20.9分，篮板则是7.9个，助攻则是2.7个,体育,[哈里斯],[],[]
22,当初，他们选择在巴特勒身上赌一次，但是效果不是太好,体育,[巴特勒],[],[]
23,但问题是，就像所有人都知道，一个球队想成功绝非只是堆砌强大球员那么简单，未来布朗教练肯定要在布阵排兵上多花点心思,体育,[布朗],[],[]
24,重量级在泰森时代后逐渐衰落，同时也迎来了巨人时代，这些高大威猛的重量级拳手，依靠着身体条件的优势一点一点的垄断了重量级，甚至一些篮球、橄榄球运动员也想依靠着高大的体格到拳坛来闯一闯,体育,[泰森],[],[]
25,皮特是克里琴科王朝最后一位牺牲品，他的失败标注着一个时代的结束，这位来自非洲的重量级猛将曾带给人们无数的惊喜，给当时沉闷的重量级注入了一针兴奋剂，由于拳法狂野曾被誉为来自非洲的泰森,体育,"[皮特, 克里琴科, 泰森]",[],"[非洲, 非洲]"
26,皮特是1980出生在尼日利亚，作为一名业余选手，他也取得过非常出色的成绩（包括击败哈萨克斯坦的名将穆赫塔尔汗·迪尔达贝科夫）,体育,"[皮特, 穆赫塔尔汗·迪尔达贝科夫]",[],"[尼日利亚, 哈萨克斯坦]"
27,这是一场备受期待的比赛，克里琴科正试图重新回到冠军榜上，而皮特当时是一个战无不胜让人胆寒的拳手,体育,"[克里琴科, 皮特]",[],[]
28,为了提高本届女排世界杯对各种队伍的吸引力，国际排联也是做出了大胆地革新，而这种革新指的便是推出奖金激励,体育,[],[国际排联],[]
29,作为本届女排世界杯的卫冕冠军，中国女排卫冕也更加有动力了,体育,[],[中国女排],[]
30,如果我们战胜了委内瑞拉，想晋级八强还需要拿下斯科拉领衔的阿根廷或者俄罗斯,体育,[斯科拉],[],"[委内瑞拉, 阿根廷, 俄罗斯]"
31,再如前天中国对阵波兰，尽管郭艾伦出战13分钟5犯离场，尽管翟晓川拼到抽筋，但是到了最后关头我们还是有机会拿下比赛的，但是由于队员的失误，导致最后遗憾落败,体育,"[郭艾伦, 翟晓川]",[],"[中国, 波兰]"
32,与波兰一战，三大内线合砍44分和24篮板，身高优势尽显,体育,[],[],[波兰]
33,委内瑞拉是一只更矮的球队，球队第一高度也才2米05,体育,[],[],[委内瑞拉]
34,所以我们大家都会一直陪伴中国男篮迎来生死大战,体育,[],[中国男篮],[]
35,伊利亚索瓦这么一个32岁的角色球员，却在全场砍下23分14板，苦苦支撑着土耳其队到最后一秒,体育,[伊利亚索瓦],[土耳其队],[]
36,谁料土耳其飞将杀出完成抢断,体育,[],[],[土耳其]
37,同样的场景，同样的剧本，不同的结局，土耳其四罚全丢，葬送好局，而米德尔顿却展现出了大心脏，关键时刻两罚两中，完成罚球绝杀,体育,[米德尔顿],[],[土耳其]
38,尽管美国队艰难的赢下了这场比赛，可美国恐怕又有一名大将将要退出,体育,[],[美国队],[美国]
39,最后一回合的攻防转换，塔图姆扭伤脚踝，被架出场,体育,[塔图姆],[],[]
40,而在热身赛中艰难战胜中国男篮的巴西队，却把握住了一举成名的机会,体育,[],"[中国男篮, 巴西队]",[]
41,在这场比赛开打之前，如果有人告诉我，37岁的巴博萨和瓦莱乔，能够在线教字母哥做人，技巧君一定会说：“好家伙，这得喝多少啊,体育,"[巴博萨, 瓦莱乔，字母哥]",[],[]
42,你说的是2009年那个被韦德隔扣的中锋,体育,[韦德],[],[]
43,而同样82年出生的瓦莱乔，全场砍下22分9板2助，篮下上反篮轻松打进，字母哥一言不合正欲还击，谁料影帝上线怒造进攻犯规,体育,[瓦莱乔],[],[]
