数据源,title,content
网站,五招预防新型冠状病毒感染,从1月20日凌晨起，北京、广东、武汉等地接连发布新型冠状病毒肺炎情况。截至21日下午，武汉市确诊198例，北京市确诊5例，广东省确诊14例，上海市确诊2例。此外，浙江、云南、四川、贵州、香港等地均出现了疑似病例。目前针对新型冠状病毒的传染源及传播途径的研究仍在加紧进行中，但专家已明确表示，该病毒感染的肺炎肯定存在人传人的现象。  冬春季本就是呼吸道传染病高发季节，也是病毒性肺炎的高发时期，又恰逢春节，走亲访友聚会频繁，公众对于新型冠状病毒不要放松警惕，做好自我防控尤其重要。  （1）冠状病毒容易变异   2019年12月以来，武汉市部分医院陆续发现不明原因肺炎病例，对病例呼吸道标本病毒全基因组序列分析结果显示，这是一种新型冠状病毒。  冠状病毒是自然界广泛存在的一类病毒，该病毒形态因其表面凸起类似于王冠而得名。截至目前，人们发现冠状病毒仅感染脊椎动物，可引起人和动物呼吸道、消化道和神经系统疾病。它其实是一个大型病毒家族，严重程度从感冒到重症疾病不等。  病毒分为DNA病毒和RNA病毒，冠状病毒属于后者。RNA病毒最大的特点是，非常容易变异。这就不难理解，前有严重急性呼吸综合征（SARS非典）和中东呼吸综合征（MERS）这样因冠状病毒导致的疾病，现在武汉又出现了被世卫组织命名为“2019-nCoV”（2019新型冠状病毒）的变异病毒。在此之前，已知感染人的冠状病毒有6种，除了我们熟知的SARS冠状病毒和MERS冠状病毒外，其余4种在人群中较为常见，致病性较低，一般仅引起类似普通感冒的轻微呼吸道症状。随着全球监测工作的改善，可能会发现更多冠状病毒。  顾名思义，新型冠状病毒就是指以前从未在人类中发现的冠状病毒新毒株。此次，中国出现的新型冠状病毒病例主要集中在武汉市，其他国家和地区报告的病例在发病前均有武汉市旅行史或居住史。  （2）感染后常见发热等呼吸道症状   本次新型冠状病毒感染患者在临床表现上有什么特点？根据临床情况来看，一般症状为发热、乏力、干咳、逐渐出现呼吸困难，部分患者起病症状轻微，可无发热。严重者可出现急性呼吸窘迫综合征、脓毒症休克、难以纠正的代谢性酸中毒、凝血功能障碍等。多数患者为中轻症，预后良好，少数患者病情危重，甚至死亡。  其实，人感染冠状病毒后的症状因病毒而异。不过，常见体征比较相似，如有呼吸道症状、发热、咳嗽、气促和呼吸困难等。在较严重的病例中，感染可导致肺炎、严重急性呼吸综合征、肾衰竭，甚至死亡。  目前，在武汉发现的新型冠状病毒的感染源仍不明确。关于感染源也有一些推测，但未得到证实。联想到SARS冠状病毒是由果子狸传至人，MERS冠状病毒是从单峰骆驼传至人，至少说明，人的确会感染动物源冠状病毒。至于此次病毒源是否为动物，还需要进一步深入研究来揭示。  此前的病原学资料证明，一些冠状病毒的确可以在人际传播，人们通常是在居所、工作场所或医疗机构等场所与感染者密切接触后被感染。20日下午，国家卫健委高级别专家组组长钟南山院士在回答媒体提问时明确指出，此次新型冠状病毒感染的肺炎肯定存在人传人的现象，很可能来自于野生动物。目前，对于新型冠状病毒所致疾病没有特定的治疗方法，主要为对症治疗。  （3）个人自我防护从洗手开始   面对此次新型冠状病毒疫情，世卫组织鼓励所有国家加强对严重急性呼吸道感染（SARI）的监控，认真检查严重急性呼吸道感染或肺炎病例的任何异常流行情况，并向世卫组织通报新型冠状病毒感染的任何疑似病例或确诊病例。  那对于公众而言，有没有办法降低感染冠状病毒的风险呢？世卫组织建议公众从以下几方面着手，做好预防措施。  一是勤洗手。在咳嗽或打喷嚏后；照护病人时；制备食品之前、期间和之后；饭前、便后；手脏时；处理动物或动物排泄物后，记得洗手。手脏时，用肥皂和自来水洗；手不是特别脏，可用肥皂和水或含酒精的洗手液洗手。  二是咳嗽和打喷嚏要防护。在咳嗽或打喷嚏时，用纸巾或袖口或屈肘将口鼻完全遮住，并将用过的纸巾立刻扔进封闭式垃圾箱内。咳嗽或打喷嚏后，别忘了用肥皂和清水或含酒精洗手液清洗双手。在公共场所，不要随意用手触摸眼睛、鼻子或嘴巴，不要随意吐痰。  三是避免与特定人群接触。因被新型冠状病毒感染后大多表现为呼吸道症状，因此应避免与任何有感冒或类似流感症状的人密切接触。另外，还要避免在未加防护的情况下接触野生或养殖动物。  四是肉类彻底煮熟后食用。注意食品安全，处理生食和熟食的切菜板及刀具要分开，处理生食和熟食之间要洗手。即使在发生疫情的地区，如果肉食在食品制备过程中予以彻底烹饪和妥善处理，也可安全食用。  五是生鲜市场采购注意防护。春节期间，到生鲜市场采购难以避免，可通过以下方式进行预防。接触动物和动物产品后，用肥皂和清水洗手，避免触摸眼、鼻、口，避免与生病的动物和变质的肉接触，避免与市场里的流浪动物、垃圾废水接触。在生鲜市场里工作的人，接触动物和动物产品后，勤用肥皂和清水洗手，每天至少对设备和工作区域进行一次消毒。在处理动物和生鲜动物产品时，穿好防护服、戴手套和面部防护。下班后脱去防护服，每天清洗并将其留在工作区域，避免家庭成员接触未清洗的工作服和鞋。  另外，由于目前正处于冬春季传染病高发季节，从预防呼吸道病毒传播的角度，公众外出必要时可佩戴口罩。戴口罩是阻断呼吸道分泌物传播的有效手段，但要注意口罩应定期更换，不要戴反，更不要两面轮流戴。佩戴时要将折面完全展开，将嘴、鼻、下颌完全包住，然后压紧鼻夹，使口罩与面部完全贴合。戴口罩前应洗手，或在戴口罩过程中避免手接触到口罩内侧面，减少口罩被污染的可能。分清楚口罩的内外、上下，浅色面为内，应贴着口鼻，深色面朝外，金属条（鼻夹）一端是口罩的上方。  市面上常见口罩大概有3类：医用外科口罩、医用防护口罩（N95口罩）和普通棉纱口罩。其中，医用外科口罩可以阻挡70%的细菌，N95口罩可以阻挡95%的细菌，而棉纱口罩只能阻挡36%的细菌，因此建议选择前两种口罩作为外出防护。如果是去公共场所、不与患者接触，佩戴医用外科口罩即可，如果接触患者，建议佩戴N95口罩。  需要强调的是，外出回家后，记得洗手、洗鼻，如有发热和其他呼吸道感染症状，特别是持续发热不退，要及时就医。  【延伸阅读】  哪些算密切接触者？  对密切接触者采取较为严格的医学观察等预防性公共卫生措施，是国际社会通行的做法。那么，新闻上常说的密切接触者究竟是指哪些人群呢？具体来说，大致有以下几类。  与病例共同居住、学习、工作或有其他有密切接触的人员；诊疗、护理、探视病例时未采取有效防护措施的医护人员、家属，或其他与病例有类似近距离接触的人员；病例同病室的其他患者及陪护人员；与病例乘坐同一交通工具并有近距离接触的人员；现场调查人员调查后经评估认为符合条件的人员。  如果接到疾控部门通知，你是一个密切接触者，该怎么办？按照要求进行居家医学观察，不要上班，不要随便外出，做好自我身体状况观察，定期接受医生的随访。如果出现发热、咳嗽等异常临床表现，及时向当地疾控机构报告，在其指导下到指定医疗机构进行排查、诊治等。
网站,警示｜人血馒头吃不得！勿借新型肺炎疫情做虚假宣传,近日，武汉新型冠状病毒肺炎疫情牵动着全国人民的心。截止目前，北京、上海、广西、四川、云南、山东等地均有报告确诊及疑似病例，境外报告数例。如今，政府对武汉新型冠状病毒肺炎疫情高度重视，根据国家卫健委下发的关于疫情防治指南的诊疗方案，各级政府部门与医疗机构正在紧张有序地开展疫情防治工作。然而，就在此时，网信视点发现，一些健康产业从业者正在借此次疫情的热点，在网络上和朋友圈进行营销，声称防治疫情的最佳方法是提高免疫力，而恰巧自家产品可提升免疫力。营销人员以这种打擦边球的话术，诱导消费者相信使用产品可以防治新型冠状病毒肺炎，这样的行为毫无底线。这些营销人员有没有想过，一些病患可能因此耽误治疗，不但可能危及生命安全，还有可能影响疫情防治工作。   图：一些健康从业者正借此次疫情热点开展不当营销  来源：新浪微博截图及微信朋友圈我们在此郑重提醒、警示商家和营销从业者，不要瞎蹭热点，不要吃“人血馒头”，不要试图挑战法律和道德底线。否则下一个“权健”可能就是你。我们同时呼吁，在疫情期间，相关企业务必加强对从业人员的培训管理，加强市场规范，守法经营。   　   　据《人民日报》官微，多位权威专家建议春运期间可通过以下方式严防新型冠状病毒： ①春运途中制订行程避免颠簸，尽可能避免多次转车，否则疲劳导致机体免疫力下降； ②旅途中注意添衣保暖； ③佩戴N95口罩/医用外科口罩； ④勤洗手，如果条件不允许，可准备消毒湿巾或免洗洗手液； ⑤春节期间食物做熟，少去拥挤的地方。
网站,澳门提升应对新型冠状病毒肺炎疫情预警 设应变协调中心,澳门特区政府21日中午召开记者会，将应对新型冠状病毒疫情预警提升至第二级，即“可能面临爆发”的级别，并设立新型冠状病毒感染应变协调中心，24小时运作应对疫情变化。  目前，澳门各口岸还无需采取控制人流或入境措施。澳门已从国家卫健委获得快速检测试剂，也已派出医护人员赴武汉交流防治经验。此前，澳门13名疑似病例均排除感染新型冠状病毒。  针对春节假期入境游客增多的情况，澳门将在原来的各出入境口岸测温、对来自武汉的航班登机测温、填写健康申报表的基础上，因应疫情变化，采取加派人手，增加对一些航班的登机检测等措施。
网站,武汉肺炎 【武汉肺炎】 澳男疑似感染 曾到访武汉,澳洲出现首宗怀疑武汉肺炎个案，怀疑染病的男子曾到访中国武汉，目前在布里斯班的寓所接受隔离。  澳洲昆士兰省首席医疗官珍妮特．扬（Jeannette Young）周二表示，怀疑染病的男子从武汉乘飞机经悉尼入境，出现与严重急性呼吸道症候群（SARS）相似的病征。  “男子在较早前已接受检测，但未能确定他是否染上新型冠状病毒肺炎。”  她也透露，男子目前在家中接受隔离，已进行进一步检测。  “由于澳洲此前未出现过相关病例，所以没有特定的新型冠状病毒检测方法，现时刚从世界卫生组织取得病毒检测引物，料需时数日才有男子的检疫报告。”  珍妮特．扬也表示，上周已要求昆士兰所有紧急部门、医院及诊所加强防疫，任何从武汉到昆士兰的人若出现咳嗽、发烧、喉咙痛等呼吸道病征，相关部门必须采集样本送到布里斯班检验。
网站,【韩国首例新型冠状病毒肺炎患者病情好转】,格隆汇1月21日丨韩国疾病管理本部21日表示，20日被确诊为韩国首例新型冠状病毒肺炎的患者目前状态良好，管理本部正在对其进行深度流行病学调查。该名患者为35岁的中国籍女性，于19日从武汉出发，经韩国仁川国际机场入境，后被发现有高烧等症状而转入指定医疗机构接受隔离治疗。20日被确诊感染新型肺炎。
网站,八问钟南山：新型冠状病毒肺炎 情况到底如何？,新型冠状病毒传播途径是什么？跟SARS有何区别？针对“新型冠状病毒感染的肺炎疫情”有关防控情况，国家卫健委高级别专家组组长钟南山院士接受了白岩松采访，回应了民众的关切。   1、白岩松：新型冠状病毒肺炎跟SARS区别是什么？   钟南山：现在出现的新型冠状病毒，既跟SARS不一样，也跟中东呼吸综合征不一样，是完全不同性质的一个病毒。新型冠状病毒的感染现在刚刚开始，同时正在爬坡，所以跟SARS那个时候相比传染性没有那么强，毒力也还没那么大。我觉得从疾病的严重性跟传播力来说，两者还是有差别的。   2、白岩松：1月19日，武汉市的累计确诊病例198，但累计死亡病例是3（截至20日20时）。这个数字是否意味着它对人的威胁性远远小于2003年的SARS？还是因为我们积累了打SARS那场战役有很多的经验，因此导致“3”这样一个数字不至于让大家太过担心？   钟南山：两个因素都有。一旦有新型冠状病毒感染的话，我们确实积累了一定的经验。治疗的措施比以前有很大进步。另外一方面，因为这个疾病是处于一个起始阶段，现在的病死率不能说明全面，恐怕还得看这个疾病的发展。在这个问题上，我们应该提高警惕。当前这个情况并不能代表它的全貌，因为这个疾病刚刚开始，也处于一个爬坡的阶段。   3、白岩松：这两天一下子新增病例非常非常多，是由于我们采用了新的试剂来进行判断，包括检测速度更快了、更准了，还是也跟病毒自身规律有关？   钟南山：两个原因都有。对新的疾病，各地的试剂各方面不一样，需要一个权威的单位来进一步印证，需要拖一些时间。另外一个因素，这几天情况都有不同，在一定意义上说明，这个疾病在局部发展是比较快的。   4、白岩松：跟SARS比较，这次集中在武汉，而且像上海、广东等地都是输入性的病例，这对防控来说是一个好消息吗？   钟南山：任何急性的传染病出现都不是好消息！在一定意义上从流行病学看，它不单是集中在武汉，而且集中在两个区，这两个区大概占了45%。这两个区有一个特点，有一个比较大的所谓海鲜市场。实际上并不是海鲜，而是野味，野生动物。从各方面初步流行病学分析，它实际上通过野生动物传到人，这是比较大的可能。但是现在还是出现人传人的现象，这是我们应该提高警惕的时候。   5、白岩松：怎么判断是人传人的？   钟南山：目前资料显示，它是肯定有人传人的。在武汉有这样的肯定证据，在广东有两个病人没去过武汉，但是家人去了武汉以后，染上了新型冠状病毒，所以现在可以肯定有人传人的现象。   6、白岩松：因为是一种新型冠状病毒，我们对它的了解到了哪个程度？离知道它的病原还有多远？   钟南山：现在对它的了解还是很不够。我们只能从原则上，第一，它是一个新型的冠状病毒。它引起的一些症状，跟以前SARS有些相似。第二，它的源头是什么动物，基本上还不清楚。只是从各方面的流行病学调查的话，是来自一个野生动物可能性比较大，比如说像竹鼠、獾这一类这些。   7、白岩松：从医学专家的角度，包括整个医疗体系，该怎么办？普通人应该怎么防范？   钟南山：它的传染性，现在已经存在人传人，同时医务人员也有传染，要提高警惕了。关键的几条：一个就是预防，没有特殊的情况不要去武汉，这个是很重要的。如果有不舒服或者感冒，应该到当地的发热门诊去看，必要的时候进行排查。不舒服的话是要戴口罩，戴口罩还是有用的，实际上并不一定非要戴N95。因为这些病毒不是单独的存在，它常常存在飞沫里。一般的外科口罩还是能够阻挡大部分的，戴口罩还是有用的。   8、白岩松：普通人出现什么症状就一定要去医院治疗，是发烧吗？   钟南山：因为在冬季，流感比较多，光是发烧还是不够。一个是去过武汉或者说家里边有从武汉过来的，这是一个前提。另外，自己有发烧，这个就要警惕了，必须到发烧门诊去看，同时，必要的时候做核酸检测。
网站,针对新型冠状病毒肺炎疫情 携程、去哪儿网发布春节出行的退改保障政策,杭州日报讯 今天中午，携程旅行网、去哪儿网等旅游平台先后发布消息，针对此次疫情推出退改保障政策：  1.被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场(港口)隔离劝返的用户，以及作为密切接触者的同行人，可免费取消去哪儿网平台预订的度假类产品，损失由去哪儿网承担。  2.针对即日起至1月31日春节期间武汉地区酒店、门票、用车订单，去哪儿提供免费取消保障。目前武汉地区多数酒店接受协调，可无损退订；对于无法协调的酒店订单损失，去哪儿将承担损失。  3.目前各航司陆续推出针对发热旅客的特殊退改政策，去哪儿网方面称，将全力按照航空公司政策为用户协调免费退订或减少损失；携程方面则表示，针对公共交通（机票、铁路）的各类订单，目前民航及铁路部门暂未推出针对此次疫情的特殊退改政策，对于有退订需求的用户，携程将竭尽全力与航空公司等产品提供方沟通，为用户协调免费退订或减少损失。  截至1月21日中午已出政策航空公司：南方航空、海南航空、深圳航空、天津航空、昆明航空、贵州多彩航空、西部航空、乌鲁木齐航空、华夏航空、新加坡酷航）  4.去哪儿网也将密切关注民航、铁路部门以及各个酒店的退订政策变化，及时响应国家相关部门的要求，第一时间为用户提供保障服务。
网站,韩国首例新型冠状病毒肺炎患者病情好转,据央视新闻，韩国疾病管理本部21日表示，20日被确诊为韩国首例新型冠状病毒肺炎的患者目前状态良好，管理本部正在对其进行深度流行病学调查。该名患者为35岁的中国籍女性，于19日从武汉出发，经韩国仁川国际机场入境，后被发现有高烧等症状而转入指定医疗机构接受隔离治疗。20日被确诊感染新型肺炎。
网站,旅行社纷纷出台退改政策：春节期间武汉地区酒店可免费取消，机票将与航司协商,随着春节的临近，出游高峰到来。针对新型冠状病毒肺炎，各大旅企及时响应国家相关部门的要求，纷纷推出退改保障政策，第一时间为用户提供保障服务。  1、被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场(港口)隔离劝返的用户，以及作为密切接触者的同行人，可免费取消携程平台预订的全部产品，损失由携程承担。  2、针对即日起至1月31日春节期间武汉地区酒店、门票、用车订单，携程提供免费取消保障。目前武汉地区多数酒店接受协调，可无损退订；对于无法协调的酒店订单损失，携程将为用户承担。  3、针对公共交通（机票、铁路）的各类订单，目前民航及铁路部门暂未推出针对此次疫情的特殊退改政策，对于有退订需求的用户，携程将竭尽全力与航空公司等产品提供方沟通，为用户协调免费退订或减少损失。  4、携程也将密切关注民航、铁路部门的退订政策变化，及时响应国家相关部门的要求，第一时间为用户提供保障服务。  1、即日起至1月31日出行武汉地区的酒店、门票、用车订单，可免费取消。如平台商家无法免费退订，相关损失由飞猪承担。  2、机票、铁路、公路订单，依据航空公司及铁路、公路部门发布的特殊退改政策进行。还未发布特殊退改政策的，飞猪将全力与商家沟通，尽力减少用户损失。  3、被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场(港口)隔离劝返的用户，以及密切接触者同行人，可免费取消在飞猪平台预订的全部产品。  4、所有奋战一线的医护人员，因本次事件取消休假的，在飞猪预订的所有产品可免费取消。飞猪将及时响应国家相关部门的要求，第一时间为用户提供保障服务。  1、被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场(港口)隔离劝返的用户，以及作为密切接触者的同行人，可免费取消去哪儿网平台预订的度假类产品，损失由去哪儿网承担。  2、针对即日起至1月31日春节期间武汉地区酒店、门票、用车订单，去哪儿提供免费取消保障。目前武汉地区多数酒店接受协调，可无损退订；对于无法协调的酒店订单损失，去哪儿将承担损失。  3、目前各航司陆续推出针对发热旅客的特殊退改政策，去哪儿网将全力按照航空公司政策为用户协调免费退订或减少损失。（截至1月21日中午已出政策航空公司：南方航空、海南航空、深圳航空、天津航空、昆明航空、贵州多彩航空、西部航空、乌鲁木齐航空、华夏航空、新加坡酷航）  4、去哪儿网也将密切关注民航、铁路部门以及各个酒店的退订政策变化，及时响应国家相关部门的要求，第一时间为用户提供保障服务。  1、即日起至1月31日，通过美团、大众点评预订的武汉市酒店、民宿、景区门票、度假的订单，均可联系客服免费取消，美团为用户免费取消保障。  2、被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎被机场、港口、车站隔离劝返的用户，以及作为密切接触者的同行人，可免费取消通过美团、大众点评预订的酒店、民宿、景区门票、度假的订单。  3、美团将密切关注民航、铁路部门的退改签政策变化，及时响应国家相关部门的要求，第一时间为用户提供保障服务。针对已预订但未出行旅客的退票、改签需求，美团将竭尽全力与航空公司等产品提供方沟通，协助用户进行机票退改签服务，火车票也将和铁路部门的退改签政策保持一致。  同程集团启动应急预案，推出用户无忧疫情退改保障措施。凡此前预订了同程艺龙和同程旅游相关产品的用户，因被确诊或疑似新型冠状病毒肺炎被机场（港口）隔离劝返，以及与其有密切接触的同行用户，同程艺龙和同程旅游承诺将免费为其取消相关产品（范围覆盖机票、酒店、火车票、门票、度假等全平台产品），用户损失由平台承担。此外，还推出以下退改保障措施：  1、 在同程艺龙预订的1月21日起至1月31日武汉地区酒店的订单，我们承诺为用户无损取消，如有损失将由公司承担。上述时间范围内武汉以外区域的酒店，我们将第一时间为用户协调退改，全力降低用户损失，最终以实际协调结果为准；  2、 国内和国际机票部门正密切关注机场、航司的最新进展，目前南方航空、昆明航空、天津航空、华夏航空、海南航空等航司已出具针对发热旅客的特殊退改政策，其他航司及机场还在跟进中，我们将严格执行航司相关政策，协助用户完成退改；  3、 火车票部门同样全力关注铁路部门针对此次疫情的相关政策，随时响应国家相关部门要求，为用户提供必要协助；  4、 针对此次疫情，同程艺龙和同程旅游客服中心已第一时间调动全员人力，保障用户问题能在第一时间得到答复和解决。  驴妈妈旅游网第一时间启动应急预案，并承诺为游客提供以下服务：  1、 对于已预订即日起至2020年1月31日（大年初七）武汉地区门票、酒店、跟团游、自由行等产品的驴妈妈游客，可申请全额无损退款，由驴妈妈承担全部损失。  2、 对于已预订含武汉为目的地的火车票、机票等各类订单，驴妈妈将和游客、航司保持密切联系，按照铁路局、民航局、航司最新规定和要求，积极协助用户办理退票或改期。  3、 对于被确诊为新型冠状病毒肺炎或因疑似新型冠状肺炎，在机场、火车站、长途汽车站、客运码头等公共交通枢纽被隔离劝返的游客，以及作为密切接触者的同行人，可申请免费取消在驴妈妈平台预订的全部产品，由驴妈妈承担全部损失。  4、 退改方式：游客可致电驴妈妈旅游网24小时客服热线（1010-6060）完成退改手续。  后续，驴妈妈旅游网也将密切关注肺炎疫情动态发展，同时尽己所能提供协助，竭力保障游客安全。游客如有需求，可拨打驴妈妈旅游网24小时客服热线：1010-6060。  来源：周到上海       作者：李晓明
网站,中国青年报：口罩坐地涨价！电商不该借机发疫情财,原标题：中国青年报：口罩坐地涨价！电商不该借机发疫情财  口罩坐地涨价！ 电商不该借机发疫情财  多地发现新型冠状病毒肺炎病例，不少购买口罩自我预防的网友发现，一些电商平台销售的口罩明显涨价。生命安全和身体健康远重于短期利润，乘机涨价发疫情财，有悖道德。对此，相关部门也要加强监管和查处。 （王钟的）  最新网 www.zuinow.com 2020-01-21 16:21:44   电商口罩涨价疫情坐地  声明：本网部分信息转载于其他网站，如稿件涉及版权等问题，请联系我们！  界面设计：洱海网(www.erhainews.com) 版权所有
