title,category,content
"神吐槽：旧的不去新的不来！麦基戒指丢一返三","体育","　　吐槽不停，欢乐不止，新浪NBA神吐槽栏目继续登场！\n　　TrafalgarJason：神经病，没救了，抬走，下一个\n　　100块钱的绅士风度：刚刚看的时候师傅听到说你在看些什么jb视频\n　　可爱老李liii：\n　　叫我衩子：著名谐星老詹，副业NBA球员\n　　晴欢渡cc：nonono！ idon‘twanttoknowwhatitis\n　　我姓王但不是社会王：接下来到了大家最熟悉的环节，那就是——詹姆斯的每周一疯！\n　　Dominate_BOBO：没喷口水，差评\n　　蚩梦的小迷弟：喂，精神病院吗，我们这有个病人每周二就发病\n　　曼巴精神青史永留：明年拿诺贝尔文学奖咯\n　　L-梓豪哥哥：总冠军，奥斯卡，现在还染指诺贝尔，果然是全能型后卫\n　　晴朗-HAISHENG：世上无难事，唯有……\n　　super_可z：你搞错了，我这才是原图\n　　V有恐高症的鸵鸟R：奥斯曼毕竟不是奥特曼啊\n　　艾弗里非同凡响：詹姆斯小弟，现在怎么这么厉害\n　　唯wei少：别的没学会，罚球倒是学的一模一样\n　　南门安监：吃牙套不吐牙套皮\n　　峨眉峰同志：我一个朋友说她可以\n　　songleon：\n　　____清欢：哦哦 原来是P曼巴\n　　温柔粗旷哥：我练的壮点还不行了 我太难了\n　　rari1：变秃了也变强了\n　　Smile-周先生：旧的不去新的不来\n　　李卡多7：湖人为麦基而战，多为他拿几个戒指\n　　Danny飞_19967：盗贼是nba铁粉？？\n　　VVstriveYanZ：没事，这个赛季又要发一个给你\n　　（所有言论均来自网友智慧，不代表新浪NBA观点）\n"
"我国持续加大财政投入 优先保障教师队伍建设","体育","　　"
"云南城投9月4日快速反弹","体育","来源：东方财富Choice数据\n以下是云南城投在北京时间9月4日13:20分盘口异动快照：\n9月4日，云南城投盘中快速反弹，5分钟内涨幅超过2%，截至13点20分，报3.05元，成交2733.24万元，换手率0.57%。\n分笔\n11:11:56\n3.00\n1↑\n11:11:50\n3.00\n6↑\n11:11:47\n2.99\n10↓\n11:11:35\n3.00\n3↑\n11:11:29\n2.99\n49↓\n11:11:23\n3.00\n3↑\n11:11:02\n3.00\n1↑\n11:10:56\n2.99\n84↓\n11:10:17\n3.00\n5↑\n11:09:29\n3.00\n4855↓\n报价\n卖五\n3.09\n861\n卖四\n3.08\n348\n卖三\n3.07\n741\n卖二\n3.06\n1168\n卖一\n3.05\n2977\n买一\n3.04\n34\n买二\n3.03\n1459\n买三\n3.02\n2123\n买四\n3.01\n3425\n买五\n3\n1634\n最新：\n3.05\n涨幅：\n1.33%\n涨跌：\n0.04\n换手率：0.57%\n成交量：9.09万手\n成交额：2733.24万元\n主力净流入：\n-342.59万元\n  9月4日，云南城投盘中快速反弹，5分钟内涨幅超过2%，截至13点20分，报3.05元，成交2733.24万元，换手率0.57%。\n注：以上信息仅供参考，不对您构成任何投资建议。\n（文章来源：东方财富Choice数据）\n[点击查看原文]\n"
"交警队体检太形式了吧","体育","Powered by Discuz! X3.4\n"
"MLB》這就是棒球！9下攻7分國民驚人逆轉","体育","國民在與大都會之戰上演不可思議逆轉秀！兩隊都推出王牌應戰，不過薛爾瑟(Max Scherzer)與狄葛朗(Jacob deGrom)都無關勝敗，大都會9局上半海灌5分拉開比分，沒想到國民9局下半上演驚人逆轉，鈴木清再見3分炮，率領國民單局攻下7分，是隊史最驚人逆轉之役。\n國民王牌薛爾瑟主投6局被敲5安，其中被敲一發2分炮，失掉4分以敗投身分退場，狄葛朗前7局僅失2分，不過8局下半續投就被鳥索托(Juan Soto)敲出2分炮，大都會緊急更換投手止住失分，8局結束大都會以5比4領先。\n9局上半大都會尼莫(Brandon Nimmo)第一球就出手敲陽春炮，隨後阿隆索(Pete Alonso)更敲出本季第44轟，並列大聯盟全壘打王，大都會此局灌進5分大局，原以為勝券在握，沒想到下半局國民更驚人。\n大都會握有6分領先，進入9局下半後援投手卻大放火，連換3名投手都無法止住國民攻勢，先連續6支安打追回3分後，鈴木清面對國民終結者狄亞茲(Edwin Diaz)連續3顆約100英里(約161公里)火球，最終將球送往左外野方向，成為石破天驚的逆轉3分炮，助國民最終以11比10向大都會說再見。\n國民單局灌進7分，是隊史上第9局追最多分的逆轉勝，同時此為鈴木清生涯第3次再見全壘打。這場得來不易的勝利，幫助國民在國聯的外卡爭奪排名暫居第一，領先第二的小熊3.5場勝差。\nMLB》返海盜升上大聯盟 王維中：台灣孩子加油\n影》棒球版「迴旋蛇球」？界外滾進場隊友笑瘋\n(中時電子報)\n#國民#大都會#鈴木清#再見全壘打#逆轉\n"
"怀孕以后，有3种食物孕妇常吃有益视力，还能帮助宝宝的脑部发育","体育","一般来说，孕妇越重视自己的饮食问题，那么小宝宝就越有可能发育得更好。因为对于宝宝来说，获取营养的方式只有一种，那就是汲取母体里的营养。如果女性们是第一次生育的话，那么对饮食这方面可能还不是太了解，不知道自己可以多吃什么。怀孕以后，有3种食物孕妇常吃有益视力，还能帮助宝宝的脑部发育。\n第一种食物就是鱼汤\n家里老人通常很喜欢给孕妇熬一些鱼汤，放在吃饭前喝，这主要是因为喝鱼汤能给孕妇带来两个好处。第一个就是它里面的营养成分很丰富，能满足孕妇自身以及宝宝的营养需求。还有一个就是它具有缓解孕吐的功效型，有些孕妇孕吐的情况非常严重，一闻到食物的气味就想吐，大大影响了平时的进餐，这个时候就可以喝些鱼汤，能让这种情况得到减弱，从而起到安胎的效果。而且鱼汤这种食物的味道也很鲜美，大多数孕妇都会喜欢吃的。\n第二种食物就是坚果类\n女性们怀上小宝宝之后，都很惊讶自己的胃口变大了不少，一般到下午两三点的时候就会觉得肚子饿，不吃点东西进去就很难受。虽然小零食的种类非常丰富，但大多数都是不适合孕妇吃的。这个时候就可以买些坚果类的东西，这是一个很不错的选择，比如核桃等等。因为它里面的营养价值很高，孕妇们每天吃上几个的话，就能帮助宝宝脑部发育得更好。不过孕妇们需要注意一点，它里面的脂肪含量比较高，不能吃太多，不然的话容易出现过度肥胖的问题。\n第三种食物就是蓝莓\n有些孕妇很想吃些水果，来给宝宝补充额外的营养， 这个时候蓝莓就是非常好的选择。因为它能给孕妇以及宝宝带来一些好的地方，它里面的花青素非常充分，能够起到改善气色的效果。如果孕妇频繁摄入的话，不仅自己的气色会变得更红润，而且小宝宝的眼睛也会变得更加明亮有神，有益宝宝视力。从这个方面可以看出，孕妇们多吃些蓝莓还是很有益处的，所以平时可以多买些。虽然它的价格比较高，但还是非常值当的。\n以上就是孕妈们能常吃的食物，希望孕妈们看完以上的内容之后能够更了解自己可以吃什么食物，这样的话就能帮助宝宝更好地发育了。\n"
"篮球世界杯 | 毕其功于一役，周琦能否完成自我救赎？","体育","北京时间9月4日，2019年篮球世界杯将展开小组赛末轮的争夺。上场比赛遗憾输球的中国男篮，将迎战委内瑞拉。对于中国队而言，这将是一场生死战——赢球，则收获小组出线以及东京奥运的参赛资格；输球，则将小组出局，陷入到排位赛的恶战之中。\n亿万篮球迷将在今夜，为中国男篮打call加油，助威生死战。本场比赛，中国移动咪咕50帧原画直播，将给所有球迷带来更加细腻、流畅、逼真的观赛体验。同时还上线了多视角观赛功能，巨星视角锁定男篮球星在场上的每个精彩瞬间，畅享顶级篮球盛宴，为中国队打call。\n0胜4负！男篮战死敌全面下风 3年前曾惜败对手\n中国男篮曾与委内瑞拉交手过4次，战绩为0胜4负，全面落于下风。在3年的里约奥运会小组赛中，中国队就曾输给过对手。彼时，男篮在细节处理上的不完美，导致球队最终惜败。\n此番再度相遇，于中国男篮而言，有三大利好：其一便是他们的主力得分手，科比的表弟考克斯退役，整体实力有所下滑；其二则是中国队在过去3年持续进步，实力大有此消彼长的意思；其三则是这次世界杯，男篮坐拥主场优势，全场球迷是中国队的最佳第13人。\n内线优势明显！男篮生死战最强武器是三塔\n作为一支美洲球队，委内瑞拉有着自己鲜明的特点——个人冲击力强，个别球员投射能力不俗。全队身高有限，但打法凶狠，对前场篮板会展开疯狂的冲击。\n对于这支对手，中国队的优势就是内线——易建联、周琦和王哲林，拥有绝对的身高优势，如果能够发挥出三塔的特点，同时保障好后场篮板，中国队的赢面将很大。\n上场比赛，委内瑞拉身高只有1米83的小后卫埃斯莱，命中5记三分狂轰28分。在生死战中，他将是中国男篮重点防范的对象。\n忘掉惜败！男篮两将盼爆发 周琦迎来救赎之战\n小组赛次轮的惜败，对于中国男篮而言无疑是一记重创。在短短48小时的时间里，中国男篮首先需要迈过的是心理关，尤其是出现重大失误的周琦。\n此前的采访中，周琦也表态在打完这场比赛之后，会跟球迷袒露心扉。这位23岁的年轻人，显然是憋着劲想要证明自己。上场比赛仅仅出战14分钟，便5犯离场的郭艾伦，同样也是无比渴望在关键战中展现自己的价值。\n对于周琦来说，接下来的这场比赛，将是救赎之战，是他弥补上场错误的绝佳机会。对于郭艾伦而言，这场生死战也是证明之战，上场比赛目睹球队惜败之后，他需要重新站到场上释放自己的能量。\n男篮生死战一触即发，这场比赛的最终结果，将关乎男篮的晋级形势。本次世界杯，咪咕上线“中国移动5G为中国队打call”活动，用户可以进行中国队晋级大预测，生成专属球迷加油照，让“为中国队打call”引领朋友圈风潮。此外#为中国队打call#话题也在微博等社交媒体平台强势发起，吸引着广大球迷参与其中，关注篮球世界杯，为中国男篮加油助威，开启中国主场。\n返回搜狐，查看更多\n"
"禹唐体育助力中国杯花滑大奖赛，中外名将决战山城","体育","今年11月8日至10日，资生堂中国杯世界花样滑冰大奖赛将在重庆华熙文化体育中心举行。隋文静、韩聪、金博洋、图辛巴耶娃等中外花滑名将届时将齐聚山城，为世界花滑粉丝奉上一场顶级冰上盛宴。\n世界花样滑冰大奖赛是由国际滑联主办的国际A级赛事，本赛季的中国杯大奖赛作为6站比赛中的第4站，吸引了来自10个国家和地区的60名运动员前来参赛。该站赛事在中国常年举办，如今已经来到第17个年头，是级别最高的国际花样滑冰赛事之一。\n这是中国杯花样滑冰大奖赛第一次来到重庆，同时也是重庆历史上第一次举办国际高水平花样滑冰赛事。禹唐体育作为官方协办媒体将对赛事相关内容进行持续报道。\n关于中国杯\n本届中国杯汇聚了海内外众多花滑高手，其中不乏世界冠军、奥运奖牌获得者、四大洲赛冠军、欧锦赛冠军……他们将分别竞争男单、女单、双人、冰舞四个项目的奖牌。包括花滑名将隋文静／韩聪、彭程／金杨，两届世锦赛铜牌得主金博洋，去年大奖赛总决赛季军车俊焕、今年世锦赛季军周知方、欧锦赛季军马特奥·里佐，2015年世锦赛冠军图克塔米舍娃、2019年世锦赛亚军图辛巴耶娃、2015年世锦赛亚军宫原知子、2017年四大洲锦标赛冠军三原舞依、2019欧锦赛冠军萨莫杜罗娃、2019年世青赛亚军谢巴尔科娃等。\n关于禹唐\n禹唐体育是中国领先的体育营销类垂直媒体，聚焦产业、商业和营销。禹唐体育同样是最具国际视野的中国体育商业媒体，除中文平台外，我们还建有英文网站，通过Twitter、Facebook等社交媒体传递中国声音，现已成为国内外体育产业交流的重要平台之一。 截止到2018年，通过中英文网站以及社交平台，禹唐内容的整体阅读量累积达到12亿；超过150家国内和国际媒体，如美联社、BBC、华尔街日报引用了禹唐体育的内容；禹唐体育累计发布的报告数超过1200份。\n禹唐体育也是全球知名的体育营销服务商。以互联网技术为驱动，通过优质的体育资源（赛事、球员、媒体）为客户提供专业的营销解决方案和服务，持续为客户创造价值。\n-------------------------------\n禹唐体育每日准时奉送体育方面的新鲜资讯、数据发布、产业趋势、专题解读、案例分享。平心静气的深入洞察，只为你提供最具价值的体育营销解读。\n"
"我很快乐！内马尔返回巴西队，心情大好Ins晒照","体育","虎扑9月4日讯 巴西将在9月的国家队比赛周中对阵哥伦比亚和秘鲁，而尽管内马尔因为转会事宜迟迟没有定论，并未出战法甲的比赛，但他还是回到了巴西国家队里。\n看上去内马尔的心情并未受转会的影响，他晒出了一张自己开怀大笑的照片，并且配文说“快乐鸭！”\n(编辑：爱喂猫)\n"
"五个月宝宝第一次去大饭店吃饭 好奇的眼神四处张望 太呆萌可爱了-高清视频-在线观看-头条视频","体育","五个月宝宝第一次去大饭店吃饭 好奇的眼神四处张望 太呆萌可爱了\n"
