title,category,content
"【新时代文明实践活动】九龙镇开展法制教育讲座","教育","初秋的太阳仍旧炎热，但挡不住学生对讲座的热情。讲座开始前，学生还自发帮忙摆放禁毒展板，浏览禁毒知识。讲座正式开始后，禁毒办成员从毒品的概念、种类、危害、防范措施、法律条文五个方面一一进行细致讲解，给学生构筑一条坚固的心理防线，不时还跟学生互动，考验学生瞬时记忆和活跃讲座气氛，使得活动顺利有趣的进展下去。接着九龙中队杨金洪同志以未成年人交通安全为着重点，主要解说道路交通安全规则、严禁未成年人驾驶机动车、禁止参与黄赌毒等犯罪行为知识，希望学生不仅是遵守学校的规章制度，更要遵守生活中的条例规定，做校内一个好学生，校外一个好公民。\n"
"“点读机女孩”考上这所名校! 学习秘笈首次曝光, 太强了！","教育","从昨晚到今早，“点读机女孩”又上热搜了！年年“被高考”的她，今年真的考入大学了！\n“哪里不会点哪里，妈妈再也不用担心我的学习了！”“So easy！”\n10年前，一则魔性的广告让年仅8岁的广州女孩高君雨成为全国家喻户晓的“点读机女孩”。\n据广州日报报道，最近，她再次以学霸姿态登上热搜，以超过本科线113分的优异成绩入读中国传媒大学播音主持专业。\n接受记者采访时，高君雨的妈妈李翠霞表示，“大家一直关注君雨的成绩，从她初二开始就传说她高考成绩只有403分，但她一直是以阳光心态去面对，这样网上的声音反而变成了动力，她说，我必须要用实际行动来击碎质疑”。\n每年出高考成绩后，这个小女孩都会被网友密切关注一波，段子至少传播了3年了！\n昨晚，高君雨通过微博表示：\n从初二开始的年年“被高考”到现在的被录取，一直非常感谢大家对我的关注。大家可能担心这些谣言是否会是我成长的阻碍，但在我看来，这些外界的压力会转化为我前进的动力。我十分感谢这些经历，让我一步一步努力前行，成为更好的自己在此也呼吁广大网友“谣言止于智者”\n或许我们可以想象一下，全民监督下心理压力会有多大，每年你都会被拉出来辟个谣，如果成绩真的不理想，相信又会有不少网友恶语相加。\n也或许在压力下，小雨不得不逼着自己去优秀，去成功！我们能这样说，她抗住了压力，绽放出属于自己的美丽！\n此前，高君雨在其微博上分享过一段自白FM，回应了关于高考成绩的种种传言和艺考的感想。\n戳视频↓↓↓\n这一波自白掀起不少网友关于“点读机女孩”的回忆。\n微博截图\n看似光鲜亮丽的背后，也会有一些风雨。过高的关注度曾给高君雨带来一定的困扰，当时还未成年的她就被人恶意抹黑过。\n图片来源：高君雨个人微博\n2015年6月30日，有网友造谣“点读机女孩今年高考成绩出来了，成绩才403，连本科线都没有上，让你天天so easy。”该微博立刻引起了广大网友的关注。随后高君雨当天下午就在个人微博上辟谣称：自己还是一个初二的学生，根本还没到参加高考的时候，网传高考成绩403分更属无稽之谈。\n微博截图\n这时大家才知道，此时的\"点读机女孩\"高君雨才14岁，在广州某学校读初二，离高考还早着呢。同时高君雨的经纪人王小姐也骄傲地告诉众人：小雨就是个小学霸。她是班上的语文课代表，平时考试都是年级前三名，英语满分120，小雨每次都能考115分以上。\n微博截图\n2016年，高君雨在微博晒出自己的中考成绩，七科总成绩为727分，单科成绩均为A级，考入名校执信中学。同时，她还感谢了她的老师同学：“感谢各位老师们的谆谆教诲，感恩母校的栽培，也感谢各位一起奋斗的同学们，愿我们未来的高中生活更加丰富多彩。”\n高君雨在高考结束的第一时间，在微博上表达了自己激动的心情↓↓\n微博截图\n光说想网友还不够，就像其他高三学生一样，她还在微博上晒出了自己多年苦学用的课本教材，满满地堆成了一座小山。看来为了考出好成绩，她也付出了不少努力。\n微博截图\n高考结束后，高君雨也在自己的微博上分享了高中毕业典礼的照片，照片中的她亭亭玉立，已经长成了一位大姑娘。\n图片来源：高君雨个人微博\n很多网友在恭喜她顺利毕业的同时也感叹：“这是从小看到大的励志娃！”“未来可期！”\n微博截图\n除了点读机广告，高君雨十年之间拍过各类广告超300个 ，与蒋雯丽、陈佩斯等演艺人士合作过，但大家仍然给她贴上了“点读机女孩”的标签，李翠霞表示：“大家对点读机广告认知比较深，很少会注意到她的名字。同学之间偶尔也会指指点点，但她希望自己是普通学生，和同学们之间的相处也很好，从来没有受到特殊对待，参加的活动一点都不比同学少，参与合唱团拿到各种奖项，各种主持活动的历练都对有积极影响”。\n更难得的是，在此期间，这位知名广告童星的学习从未落下，“反而是性格更自律，做事更有效率，更有规划了”。\n究竟有何秘诀？李翠霞分享道，首先是高君雨在各方面对自己都很有要求，一直以来都没有偏离过轨道，制定好大目标之后，就细化成小目标，然后往前倒推要做哪些事，她主动走，而不是需要人推着走，现在完成了阶段性目标。\n其次，当孩子做出选择以后，家长不要过多干涉，而是要非常尊重孩子并给予辅助和支持，“最重要的是有效陪伴，许多人认为就是管好孩子的吃喝拉撒就好了，其实不是，我就是在她的重要节点上起到引导作用，让她形成习惯。我自始至终没有担心过她的学习，真的是so easy”。\n和大多数孩子一样，高君雨到了初二还是出现了叛逆期，李翠霞便独创了一套巧妙的笔记本交流法，“如果我们意见不统一，就会避开语言上的冲突，用文字的方式去交流，我会把想说的写在笔记本上，她放学回来会看，继续往上写东西。 文字的魅力在于婉转柔和，会把语气弱化下来 ，这样我们在沟通上多了一层理解，情绪没有恶化下去，她成功度过了叛逆期”。\n在李翠霞看来，那本笔记本堪称传家宝，“这值得大家借鉴，好多家长也都有这方面的困惑，就是当大家和孩子在心理上隔着一道墙的时候，该怎么办？鸿沟不是一天产生的，你得承认问题，一定要从自己身上找根源”。\n不过，李翠霞说，她们母女间没有代沟，而是无话不谈，“就是跟朋友一样相处，我们一直有爱的连接。她每天都把’妈妈，我爱你’挂在嘴边 ，每次都是阳光笑脸对着我，出门前都会拥抱、飞吻，这会感染我，无论我多累，心都会很甜”。\n她进一步建议，在亲子沟通中，家长们要放下权威和架子，“年轻人喜欢的有些东西你跟不上，我们就要虚心学习，这样就能产生共同话题。 很多孩子不服父母就是觉得她说的你不懂，所以家长要跟上孩子的成长步伐，成为她的标杆，所作所为让她尊重你”。\n忽然想起，四月份王源在某节目上唱了一首新歌——《世界上没有真正的感同身受》。唱着唱着，他竟然控制不住，转过身去，捂脸大哭起来。没想到那么阳光那么明媚的男孩，竟然也藏着如此深的痛苦和忧伤。王源问：“你们看舞台上的我是不是亮的？”粉丝答：“对。”王源说：“但我看你们都是暗的。”王源这样唱到：\n“世上没有真的感同身受，面对其实只有一个人，一个人在夜里哭着，哭到头痛直到睡着……”\n学习哥有时候也真的觉得“感同身受”这个词，是世界上最大的笑话。\n这个世上哪有什么感同身受，多的只是冷暖自知而已，于己惊天动地的伤，于人不过随手拂过的尘；正如压死骆驼的，从来都不是那最后一根稻草。\n同样，高中的学生，给人一个感觉就是——累，没有经历过的人并不能感同身受！每个人都在和时间赛跑！也许真的学习轻松的学生并不多，即便是学霸，也不会有多轻松甚至更累，只不过学霸学习速度更快、安排的更合理罢了。\n无需抱怨生活和他人，自己的苦自己吃，自己的压力自己抗，所有的路都要你自己来走。台上一分钟，台下十年功。那些成功、赢得漂亮的人，私底下都付出了高于常人百倍努力与艰辛，只有用汗水与血泪才能浇出成功之果。\n声明本文来源于广州日报(作者曾俊）、@高君雨、高中生学习(ID：gzsxuexige)、中国新闻社、中国新闻网、南宁晚报、中国青年报，相关权利归作者所有，由高中生学习(ID：gzsxuexige)编辑整理。\n学习哥团队尊重版权，如存在文章/图片/音视频使用不当的情况，请随时与我们联系协商。联系（QQ）：536241253\n版权 | 内容 | 活动 QQ: 254773567\n"
"崇州市教育局党组成员、纪检组长李军一行检查学府小学开学工作-数字四川","教育","四川新闻网成都9月4日讯 9月3日上午，崇州市教育局党组成员、纪检组长李军、人事科科长赵冬梅等到学府小学检查开学工作。\n李局长、赵科长一行查看了学校食堂、教室、书吧、运动场、等，询问了学校的开学工作和师生到校情况，听取了学府小学王耀宗校长关于学校招生情况、教师队伍状况、安全稳定、后勤保障等工作汇报。\n李局长、赵科长充分肯定了学府小学优美的校园环境、师生良好的精神面貌和扎实细致的开学工作。李局长指出要加强学校内部管理，确保开学工作井然有序步入正轨，高度重视安全工作，积极开展廉洁教育、法治教育，特别强调要按照廖冬雪部长视察学校时的重要指示精神，进一步做好开学工作，推进学校发展，提升学校品质，办人民满意的学校。（徐帆）\n"
"亳州：送教到乡村 互助共成长","教育","送教老师在课堂上指导学生\n“同学们，每个人都是独一无二的，但怎么样能在介绍自己的时候给别人留下深刻的印象呢？现在，我给大家讲个小故事。”1月18日上午，在谯城区五马镇吴小阁小学的一间教室里，来自亳州十二中学的老师吕秀玲的一句话，让学生们立即产生了兴趣。\n吕秀玲通过设置悬念、分组讨论、叙述故事等方式，让学生们学会了如何通过发挥想象力、抓住事物特点、运用修辞手法等提高书面表达能力和口头表达能力。\n当天上午，共有4名来自亳州八中、丹华小学、亳州十二中等学校的优秀教师，到谯城区五马镇吴小阁小学开展公开课教学。老师们采取多媒体教学、自由讨论、小组合作、动手操作等教学方式，调动了课堂气氛，提高了学生们的学习兴趣，让听课的师生受益匪浅。\n“对我来说，参加此次‘送教下乡’活动是一次非常好的学习机会，能促使我反思教学工作中不足之处，学习借鉴其他老师好的教学经验，从而提高自己的教学水平。”来自亳州八中的教师赵芳玲说。\n据了解，“送教下乡”是“我的中国梦”—文化进万家2018年亳州市暨谯城区文化科技卫生“三下乡”集中示范活动的其中一项活动。市教育局基教科科长侯广宇说，今后我市教育部门还将继续开展“送教下乡”活动，以增强城乡教师间的相互交流，促进城乡教师共同成长、城乡教育均衡发展。（记者 陈璐 文/图）\n"
"彭州市濛阳镇七一竹瓦九年制学校2019年秋季开学迎检工作简报-数字四川","教育","2019年9月3日上午，彭州市教育局一行7人到彭州市濛阳镇七一竹瓦九年制学校，在校长唐诗胜陪同下，对我校的秋季开学工作进行了细致的检查与指导。\n检查组人员首先到校四楼会议室听取唐校长的开学工作汇报，唐校长就学校开学情况：学校工作计划、党建工作、教学工作、德育工作、幼儿园管理、安全工作、后勤工作一一作了详细汇报。随后检查组人员廖老师在副校长陪同下，对学校的办学环境进行了巡视和检查，查看教师教学状态及学生的学习状态，并对校园环境和师生的精神状态给予了高度评价。\n检查组高老师到幼儿园和学校食堂进行了巡视和检查，了解孩子的一日生活及教学设施设备等情况；了解食堂工作流程，检查食堂的安全卫生情况并查阅资料，全面了解我校开学各项工作安排、布署、落实情况。\n经检查我校积极落实全彭州市教育局2019年秋季开学工作会议精神，各项工作井然有序。环境卫生良好，教师精神面貌良好，组织活动秩序良好，安全制度完善，措施到位等得到检查组领导肯定。开学检查工作是一项常规性工作，学校将以开学检查为契机，努力把学校各项工作落实到位。\n校长向检查组汇报学校开学工作\n检查组查阅资料\n幼儿园、学校食堂检查\n"
"父母们取名是舒坦了，考虑过老师点名的痛苦吗......","教育","盼望着，盼望着，\n家长们最开心的日子来了：\n家里的“熊孩子”们终于开学了.....\n各个幼儿园和小学可谓是“哇”声一片，\n有早上妈妈送过来哭的，\n有午睡醒来要找爸爸妈妈的，\n有看到爸爸妈妈来接时哭的。\n但是，\n你们一定没想到\n——老师们也快哭了。\n近日，\n微博上这样一张图引发网友热议↓↓\n图片来自新浪微博网友\n网友们看到这个表格后，纷纷发表了自己的看法。\n@兰珩：哈哈哈哈张二鸣真是文盲友好型名字。\n@宝藏x：挺有特色啊 这个班\n@未来酱__菜菜籽：那个“竁”认真的吗？家里盗墓的吗？\n@我有一头小毛驴：看这个名单找到了看《三国演义》的感觉\n@才不是小号的小号：程门立雪那个，从名字上就开始拍老师马屁可还行\n@Riiiry：戎耀名字好酷！！！小帅哥的名字\n@他是长留上仙白子画：高頔，马頔好听\n小编只能说：现在家长为了让老师不叫自家孩子起来回答问题，真的是太拼了......\n此外，因为名字取得过于简单，很多网友不禁为“李一诺”和“张二鸣”两个同学未来的学生生涯感到担忧。\n@贫穷少女更贫穷的日常：李一诺和张二鸣完了，老师上课必点的名字\n@目标可是星辰大海噢：李一诺和张二鸣绝对是以后最常被叫起来回答问题的孩子\n@好尴哦丶：李一诺张二鸣轮流被点起来回答问题\n@forhimever：李一诺和张二鸣赢了\n@锅巴好吃：李一诺张二鸣，班长副班长安排上了\n而老师们估计只有一个想法：开学点个名太难了，一点也不容易[跪了]\n建议老师一手名单一手新华字典，没在怕的。当然最简单的方法就是：各位同学自我介绍一下吧。\n当然，也有一些网友（其实就是小编本人啦）看到后只发出了一句感叹：我文盲了\n@歌者鹿儿：五个字都不认识\n@摩尼摩尼转圈圈：我文盲了\n@可儿-Ke：中间那些二字名看下来你会发现你只认识“李刘赵高吴”\n@虚幻滴饭团：好几个字不认识，突然觉得自己好没文化\n@点歌啵：现在好多小孩的名字我都不认识，我只能点学号\n好了，大家先让一让，王牌级选手来了：\n@凯风和悦：\n1排3座yu，四声；1排6座cui，四声；2排2座gao，三声；2排4座chong，一声；2排5座di，二声；2排6座hong，一声。\n身边有人名字里有生僻字是什么体验？\n@一直锦鲤：好多字 要不是周围有同学同事名字里有 我这辈子可能都记不住读音\n@六号小柴：我寻思着生僻字名字的崽是不是都分到我们班惹，新生名单里有四个名字我都不认识， 笑不出来.jpg\n@确实-不值得：最近面试来了好多名字里有生僻字的，有叫堃的，有叫翀的。于是我们愉快的互相叫错了名字。\n@兰珩：我儿子刚上初一，看班里的名单，也颇有一些不顺口的，看到“刘金龙”大喜，以后就只找他玩，喊着顺。\n自己名字里带有生僻字又是什么体验？\n@高墙杰洛特 ：名字里有生僻字的好处就是，你永远不用担心被好面子的老师点起来回答问题\n@三花夕阳红：打登机牌要去人工柜台、安检被卡超久不给过（因为不知道我是不是我）、每一次坐飞机都要预留至少半小时给这些奇奇怪怪的程序……\n@虎妞：自己的名字里有个生僻字“玢”，是个多音字，念“bin”,大部分人还能蒙对他的另一个发音“fen”，虽然每次鄙视这个发音，因为它让我的名字染上了泥土的气息\n@柠檬汁本汁：我能拥有正确的姓名读音吗？从小到大我真是累了\n@大头大头下雨不愁：我名字里有个生僻字却偏偏选了中文系，总有老师把我点起来回答并一脸骄傲问我名字有没有念错..\n中秋节快到了，\n小编决定买点啥庆祝一下，\n没错，就是它！\n向勤如(EN006)\n"
"红塔区人大常委会副主任杨文武到高仓街道调研","教育","本网讯（高仓街道）9月4日上午，区人大常委会副主任杨文武到高仓街道调研基层党建工作和“不忘初心，牢记使命”主题教育活动先行先改工作部署落实情况，街道党工委书记童进彪、办事处主任雷玉红陪同调研并汇报街道开展情况。\n"
"快来围观他们曾经的模样","教育","又是一年开学季\n已走上警察岗位的你\n是否会想起\n曾经在大学的时光？\n你是否会记得\n那一年\n我们在学校的训练场上\n顶着烈日挥洒汗水\n你是否会记得\n那一季\n我们在为迷茫的青春\n奋不顾身的寻找方向\n你是否会记得\n那一天\n我们带着离别的伤感\n与对未来的美好憧憬\n离开校园\n李康\n毕业院校：铁道警察学院\n现岗位：柳园站派出所站勤民警\n入警前\n从警后\n从警感悟：\n一路走来充满多少艰辛，承载着多少汗水，但是我从来没后悔我当初的选择，我想既然选择了这条路，便只顾风雨兼程，青春无悔！\n张伟杰\n毕业院校：新疆兵团警官高等专科学校\n现岗位：柳园站派出所柳园警务区民警\n入警前\n从警后\n从警感悟：\n怀揣着“当警察抓小偷”梦想，大学时义无反顾的选择了警校，毕业后在努力寻找从警的道路，最终如愿以偿的成为了一名铁路警察，从警之初，背井离乡、陌生的环境，从学生到警察身份的转换、内心彷徨。但是在单位前辈的关心和帮助下，我很快适应了工作环境并享受着崇高使命里默默付出的内心安宁！\n宋杰\n毕业院校：甘肃政法学院\n现岗位：柳园站派出所内勤民警\n入警前\n从警后\n从警感悟：\n当警察是我儿时的梦想，长大后我有幸从事了警察这一职业，实现了我的梦想，我感受到了警察这个职业给我带了的快乐，我深深的体会到了这个职业带给我的快乐感与成就感，又是一年开学季，我想对新入警校的学弟、学妹们说，你的选择是对的，坚定你的选择，没错！\n袁冰\n毕业院校：新疆警察学院\n现岗位：柳园站派出所内勤民警\n入警前\n从警后\n从警感悟：\n我和我的老公在相距300多公里的两地上班，他在哈密站派出所，我在柳园站派出所，我们都从事着我们喜欢的职业，虽然聚少离多，但我们热爱着我们共同的职业。选择他我没选错，选择警察这一职业我更没选错！\n马海虎\n毕业院校：喀什大学\n现岗位：哈密站派出所线路民警\n入警前\n从警后\n从警感悟：\n短短一年间，告别校园，褪去稚嫩，穿上了警服，一改往日的慵懒，我知道了什么叫服从命令听指挥，知道了什么叫做雷厉风行。小时候梦想当一名警察，觉得超有正义感超级酷，当自己真正穿上这身制服的时候，更多的使命感和责任感，烈日下的大汗淋漓，彻夜的奔波不眠，当完美落幕的那一刻一切都是值得的。我庆幸在我的人生中有穿警服的样子。\n张学良\n毕业院校：石河子大学\n现岗位：刑警支队内勤民警\n入警前\n从警后\n从警感悟：\n“金色盾牌热血铸就，危难之处显身手……”每每听到《少年壮志不言愁》，心情总是汹涌澎湃，让我从小就对警察这个职业心生仰慕。“往者不可见，来者犹可追。”岁月流逝，转眼间我已入警3年，过往的梦想俨然实现。如今作为人民警察，我们身肩重任，唯有以饱满的热情、切实的行动投入到工作和生活中，才能成为一名合格的人民卫士。\n杨斌\n毕业院校：甘肃政法学院\n现岗位：刑警支队四大队队长\n入警前\n从警后\n从警感悟：\n从小就羡慕甚至崇拜警察，认为这是一份神圣而光荣的职业。曾几何时，当我看到属于自己的那套警服和警号时，我在心里对自己说了好几遍“嘿，你的梦想实现了”。从警校到警营，心中既有实现梦想的欢喜，又有承担那份沉甸甸责任的坚持。我想，这是那颗倔强的心在追梦的路途上做出的选择。既然选择了远方，便只顾风雨兼程。\n曹西庆\n毕业院校：西北政法大学\n现岗位：红柳河南站派出所内勤民警\n入警前\n从警后\n从警感悟：\n小时候对社会和世界，认识不多，第一接触的就是老师了，自然会有这种梦想，梦想当一个老师。当自己受到欺负打架干不过别人的时候，想当一名武术运动员。但是随着日月不断穿梭，时光飞逝，渐渐的体会到生活的艰辛。自己现在从事警察这个职业已经快五年了，深知警察这个职业很辛苦，“白加黑五加二”。虽然辛苦但是仍然要不忘初心牢记使命，尽自己的微薄之力去传播正能量！努力干好自己的本职工作，守土尽责！\n转眼间\n他们已经从事了\n曾经向往的职业\n在各自的岗位上\n大放光彩\n守护大庆\n平安出行\n有他们在\n祖国请放心\n"
"邮储银行文献支行金融服务进乡村","教育","　　\n　　\n　　近日，邮储银行文献支行积极行动、精心策划，围绕“便捷为民”的服务理念，组织宣传小分队走进城厢区华亭镇园头村开展 “送金融知识下乡”宣传活动。\n　　当天，该行宣传团队在园头村设置了宣传展位，向来往的村民发放宣传折页，与村民进行面对面沟通。针对中老年客户，宣传人员重点讲解防范和打击非法集资、电信诈骗、假币识别技巧和征信知识；针对接受力强的青年群体，重点讲解手机银行、微信银行、信用卡和信用贷等产品，与村民共享金融发展便利。同时结合邮储银行最近免费办理ETC活动，为村民提供家门口的便捷服务。\n　　下一步，邮储银行文献支行将继续多渠道、多思路开展金融知识宣传活动，加强“网格综合营销”，主动承担普及金融知识责任，传递社会正能量，为维护良好的金融秩序贡献力量。(谢晶晶)\n"
"登封市国土局长韩志刚:强化管理 促进经济","教育","“土地是有限的，它是我们赖以生存的基础，资源也是有限的，它是我们社会发展的基础。由此可见，国土资源部门责任重大，而作为一局之长，也让我深感肩上的担子沉重。”面对重任，登封市四届人大代表、登封市国土资源局局长韩志刚这样讲道。\n作为登封国土资源管理工作的带头人，党委书记、局长韩志刚紧紧围绕全市工作大局和本局中心工作，严以律己，认真履责，率先垂范，团结和带领全局同志，出色地完成了登封市委、市政府和上级主管部门交给的各项任务。\n坚守耕地红线 在土地有效利用上下工夫\n登封属豫西丘陵山区，人均耕地不足1亩。要想既保护资源又能保障地方发展，必须科学地思考，智慧地工作。登封市国土资源局以“惠民生促进科学发展，守红线坚持数质并重”为指导思想，积极探索土地的有效利用方式。\n在转变土地资源利用方式工作中，积极借鉴外地经验，结合登封实际，走出了一条节约集约用地的新路子。一是大力推进产业集聚区建设，把产业发展与城市建设密切结合起来，较大幅度地提高土地利用效率，实现产城互融、协调发展。二是严控增量，盘活存量，使存量用地成为促进土地由粗放利用向集约利用转变的动力。三是开展农村土地综合整治，全面推进“千村整治”工程，促进城乡统筹发展。\n坚持落实“重在为民” 在事关群众生息上下工夫\n国土资源工作涉及千家万户，关系到全市人民的切身利益。近年来，登封市国土资源局从多方入手，着力化解领域内的各种矛盾。一是建立社保专项资金，全面实施综合地价，调高土地补偿标准。二是在农村土地整治的各个环节提供多种选择，充分尊重农民意愿。\n近几年来，登封市基础设施建设及居民安置供应的土地占到了总量的60%以上。另外，登封国土资源局还加大保障性住房和普通商品房用地特别是中低价位、中小套型普通商品房用地供应力度，优先保障用地指标，优先办理用地手续。\n不断转变管理方式 在促进和谐能力上下工夫\n“当前，国土资源工作处于改革发展的关键时期，深层次矛盾和问题日益凸出，新情况、新问题不断涌现，作为社会各界关注度极高的国土资源部门，只有不断创新管理方式，才能增强发展的动力和活力，进一步促进社会和谐发展。”韩志刚高瞻远瞩，胸怀大局，把创新国土资源管理方式作为各项工作的重中之重。\n为适应新时期国土资源工作要求，韩志刚提出，必须紧盯新形势下亟须破解的难题，把加强学习作为登封市国土资源局的重要任务。近年来，该局先后组织开展了6次大型集体学习活动，完善学习、交流、评优等7项制度，对群众关心的热点难点问题也展开了深入调研。2011年底，在为期一个月的大走访活动中，韩志刚和局班子成员一起，深入到政府部门、工矿企业和农村农户，了解问题，掌握诉求。根据具体情况，突破传统思维，聚合群力，汇智成章，推进制度机制创新，提升科学管理水平，为进一步保障地方经济发展，促进社会和谐稳定奠定了良好基础。\n“潮平两岸阔，风正一帆悬”。登封市国土资源局干部职工在韩志刚同志的带领下，正以百倍的信心与热情踏上新的征程，在加快发展、全面建设小康社会的大道上，必将谱写出更加光彩夺目的篇章。\n本网站资讯内容，均来源于合作媒体和企业机构，属作者个人观点，仅供读者参考。 本网站对站内所有资讯的内容、观点保持中立，不对内容的准确性、可靠性或完整性提供任何明示或暗示的保证。\n"
