title,category,content
"黄金技术分析：只有突破这一水平 看涨势头才能真正复苏","旅游","实用的黄金投资指南，分享精品投资理财诀窍，带你走上财富增值之路！股市暴跌人人都亏了，黄金投资我却赚钱了！支持贵金属1秒查行情，菜单栏点击“金饰”“黄金”“白银”等关键词便可知晓即时行情报价。亲，你关注金价波动吗？你想抄底黄金吗？\n"
"黑龙江公布《侵华日军第七三一细菌部队安达特别实验场遗址保护规划》","旅游","原标题：黑龙江公布《侵华日军第七三一细菌部队安达特别实验场遗址保护规划》\n　　记者从黑龙江省文化和旅游厅获悉，日前黑龙江省公布并开始实施《侵华日军第七三一细菌部队安达特别实验场遗址保护规划》，旨在完整真实地保存该遗址作为重要历史见证价值，维护文物建筑及历史环境的安全。\n　　在规划中，工作人员评估了遗址及周边环境现状，分析了现存主要破坏因素，并提出规划目标，制定相应保护管理规定及文物保护措施，提出展示利用原则与思路等。\n　　“侵华日军第七三一细菌部队安达特别实验场遗址”位于黑龙江省安达市，始建于1941年。该实验场隶属侵华日军第七三一细菌部队第二部，是对动物、活人进行细菌实验，检验各类细菌杀伤力的重要野外细菌实验基地。\n　　1945年日本投降后，为了毁灭其残忍的细菌实验罪行，七三一部队撤离时，炸毁了这里的全部实验场设施，只有建筑遗址可见。\n　　黑龙江省文化和旅游厅文物保护与考古处调研员吴疆介绍，该遗址作为战争罪证纪念地，对于全人类具有重大警示作用，可以让世界人民牢记日本法西斯对人类犯下的滔天罪行，牢记战争给人类带来的苦难，对于维护和平、珍爱生命，促进世界和平起到教育作用。（董宝森）\n(责编：木胜玉、朱红霞)\n"
"李星文：游客不文明行为缘于选择性放诞","旅游","　　今日社评本报评论员 李星文升旗过后的天安门广场留下大量垃圾，游客不顾警示随意攀爬圆明园古墙遗址，宁波雅戈尔动物园里游人用纸屑向动物投食，泰山步道旁苹果核、橘子皮不时从山上滚落……国庆黄金周过半，全国各大旅游景区在迎来客流高峰的同时，不文明现象也如影随形。\n　　今年是黄金周制度实施的第15个年头，很多人养成了国庆出游的习惯，一些游客也形成了不文明的行为习惯。在墙壁上刻字，在文物上踩踏，显现了文物保护意识的欠缺。在公共场所扔瓜子皮和果核，显现了维护公共卫生意识的阙如。向动物投掷纸片和食物，显现了爱护动物意识的淡漠。而在堵车时就跑到高速公路下面把老乡的冬瓜偷走，除了一点儿恶作剧心态之外，基本的物权意识在这些人心目中也已模糊，“有空子就钻”的毛病瞬间发作。\n　　说起来都是老问题。向不文明行为“开战”，是媒体在黄金周中的例行功课，然而收效不大，总是有很多人对舆论的谴责置若罔闻，只管由着性子做事。更加让人气沮的是，所有这些都发生在众目睽睽之下，胡来乱动者没有一丝愧色，旁边的人也极少出来制止，一切都已熟视无睹，见怪不怪。那么，不文明是否已是中国人的附骨之症，或者说不管采取什么办法，我们都无法提升文明程度和自律意识呢？答案是否定的。不用走得太远，只要置身香港，内地游客的“素质”就会有质的提升：香港海洋公园一向是内地客必游之处，这个国庆期间入园人数大增，但园内仍然有条不紊、干净整洁。不管是在观光缆车乘车点，还是在各游乐设施所在地，人们都主动排成长队耐心等待，没有出现“一窝蜂”现象。而且，秩序井然不仅发生在海洋公园，在内地客集中的繁华商业区和展会现场，也极少有人闯红灯、插队上车、争吵打架。而到了更为遥远的欧美国家，中国游客的比例进一步稀释之后，他们的文明程度还会上升。\n　　虽然境内游客和出境游客在消费水平上略有差别，但大家平常都生活在同一片土地上，呼吸着同样的空气，身具大致相同的行为模式。问题随之而来：为什么在自己的地盘上，就有那么多“没皮没脸”的放诞者，而到了风习和环境与我们不同的地方，就能“见贤思齐”成为守规矩的文明人？国人能在这两个“频道”间自如地切换，可见做文明人“非不能也，不为也”，有些人只是选择性地放纵了自己的行为。\n　　人口众多、资源紧缺是国内的客观现状，精神焦虑、事事争抢是很多人的生存状态。争夺必有规则，也必有胜负，争夺的次数越多，失败的次数也就越多，求胜心切者就会超规则出牌。超规则的人数和次数多了，规则就会变得可有可无，就会出现工作中的潜规则，生活中的不文明。在许多人心目中，要有所作为就不能顾忌秩序，要活得痛快就不能自缚手脚，讲文明和守规矩就等于吃亏遭罪。所以他们总是乐见别人成为文明人，而自己则带着对“循规蹈矩”的藐视，怎么“合适”怎么来。\n　　一个“严于律人，宽以待己”的人不会是正向的建设者，一个公德意识不彰、文明程度低垂的民族不会有持久的竞争力，也不可能赢得其他民族的尊重与信任。境内自我放纵，出境谨慎自律，这是一种机会主义的人生哲学，也是一种狮身人面的怪诞组合。这种自相矛盾、自我龃龉的行为方式，与生活景象的斑驳不堪和精神信仰的动荡迷失，有着千丝万缕、互为因果的关系。根治长假中的不文明行为，不能只是强调《旅游法》的贯彻和细节上的匡正，更重要的是规则意识的确立和尊严感的重塑。当从内到外体面如一，遵守规则成为下意识，一切都会迎刃而解。\n　　（原标题：游客不文明行为缘于选择性放诞）\n"
"淮北：站稳资源型城市转型C位 绿水青山就在家门口","旅游","　　中国江苏网讯 9月2日，“网聚美好安徽 见证五大发展”庆祝新中国成立70周年网络主题活动正式拉开帷幕。9月2日至9月3日，中江网记者与全国各地的数十位记者，抵达淮北市，开启这座皖北重镇的探访之旅。\n　　淮北，一座因蕴藏丰富矿产资源而建成的城市，地处皖苏鲁豫四省交界，历史悠久、人文荟萃。其中，凭借矿产资源优势，让淮北工业发展迅速，工业化率达50.2%，工业体系较为完善，年产原煤4300万吨。同时，对资源的开发利用，并没有让淮北人迷失，反而是更早的意识到了环保的重要。“全国文明城市”、“好人城市”、“安徽先进市”等一系列荣誉，充分证明了淮北在文明和谐、生态宜居方面做出的努力。\n　　\n　　产业转型\n　　千亿级新型煤化工合成材料基地发展蓬勃\n　　淮北市因煤而建、缘煤而兴，在为国家经济建设作出巨大贡献的同时，资源逐渐枯竭，濒临“矿竭城衰”的边缘。淮北新型煤化工合成材料基地，是淮北从“立足煤、延伸煤”到“超越煤”产业升级、城市转型的主战场。\n　　在基地内的中利发电淮北临涣煤泥矸石电厂，总经理刘明介绍，在政府的统筹帮助下，利用煤矸石、煤泥和混煤发电、供热，变废为宝，技术可以说是全国第一，为缓解华东地区电力紧张局面做出应有的贡献。临涣焦化董事长郑仁勇介绍，临涣焦化通过技术钻研，充分利用了淮北煤炭资源低硫、特低磷、顶装焦的优势，在市场上广受好评。\n　　基地重点发展以碳基新材料为主的先进合成材料和高端精细化学品，设计规划关键基础化工原料、精细与专用化学品、化工新材料三大产业板块。现已形成焦炉气深加工、纯苯深加工、煤焦油深加工三大产业链条和绿色阻燃剂、高端润滑油、功能型新材料三大产业集聚。\n　　新型煤化工合成材料基地正在优化转型、强势崛起。目前在建招商引资项目22个，总投资105.8亿元，其中在建项目10个，总投资30.2亿元，达产后可新增产值约100亿元。新开工项目12个，总投资75.6亿元，达产后可新增产值约200亿元。预计2020-2021年基地产值可突破500亿元。2023-2025年，基地产值可突破1000亿元。\n　　\n　　科技创新\n　　高端碳科技产业、绿色低碳新兴产业做强“组合拳”\n　　中江网记者来到陶铝新材料展示中心，见证了新材料在各方面的应用，感叹于淮北智造的强大。近年来，淮北市依托除了临涣煤化工基地，加快煤炭资源精深加工，做大做强新型煤化工合成材料产业;以煤炭中的“碳”成分为基础，培育发展量子碳素、石墨烯、碳纤维等高端碳科技产业外，“低碳”也是科技创新关键词。\n　　据介绍，淮北市以入选国家低碳城市试点和气候适应型城市建设试点为契机，大力发展陶铝新材料、电子信息、高端装备制造、新能源、生物制药、绿色食品、芳香制品等绿色低碳的战略性新兴产业，以及文化旅游、体育休闲、健康养老、互联网+新业态等现代服务业。\n　　\n　　生态文明\n　　昔日矿坑巧变秀美湖泊 市民享受家门口的绿水青山\n　　中江网记者初临南湖，微风轻拂、微波粼粼；柳枝摆动、鸟语花香，湖边休闲运动市民络绎不绝。谁曾想到，如此秀美的南湖此前竟然是采煤塌陷区。经过治理，南湖公园被评为国家4A级旅游景区，国家湿地公园。淮北市民每日都可免费欣赏家门口湖堤春晓、芦荻秋歌、荷塘清韵等22处景点，让记者羡慕不已。\n　　绿金湖治理前为闸河煤田采煤塌陷区，污水横流，房屋倒塌，是名符其实的城市“黑伤疤”。目前，绿金湖规划治理总面积约3.61万亩,总挖方量达3000万立方米。项目区位于淮北城市的主城区，连同南湖、乾隆湖、碳谷湖以及即将实施治理的北湖、朔西湖等六大塌陷湖泊，将加速推进“一带双城三青山、六湖九河十八湾”的城市特色风貌建设目标，还将对淮北区域小气候的改善起到重要作用。\n　　不光有水，还有山。在相山公园，曾经的石头山“脱胎换骨”，穿上了绿色的锦缎华裳。石头上种树绝非易事，几十年来，一代代淮北人前仆后继，独创“七步造林法”，解决了荒山绿化缺土少水、树苗难以成活的难题，为大地裸露的脊背点翠增色，成为市民休闲娱乐的绝佳去处。\n　　\n　　城市建设\n　　居住环境舒心了每年人口增加4万多\n　　2017年11月，淮北市被中央文明委授予“第五届全国文明城市”荣誉称号。据介绍，淮北市实施文明创建项目化建设，实施棚户区改造、老旧小区综合整治、城区路网改造等基础设施工程，不断优化群众居住环境，近年来，累计投入资金4.7亿元，完成老旧小区综合整治项目156个，整治背街小巷62条，实施了相山路、环山路等56条道路改造及绿化提升，新建改建大型综合停车场10个。积极推进创建示范点建设，通过示范点观摩和现场会，打造了安康社区、惠苑路社区、相城影巷、三家巷等一批创建示范项目，带动了全市文明创建整体水平提升，进一步优化了人居环境，提升了城市品位。同时，更加注重提升群众的生活品质，全力推进规范城区养犬和烟花爆竹禁放工作，构建“十分钟便民生活圈”，新建改造一批标准化菜市场、公厕、街心公园等生活服务配套设施，不断提升群众的幸福感和获得感。\n　　产业不断更新迭代，但城市的核心竞争力始终是人。在人口向大型城市导入的背景下，淮北实现人口“逆流”增长，常住人口增加4万多人，最终还是依靠百姓安居和乐业。\n　　\n　　精神文明\n　　从“小推车”精神到中国好人 煤城品格在延续\n　　“中国好人安徽多、安徽好人淮北多”的好人文化现象在这片土地上生根厚植。据统计，目前已有152位市民入选中国好人榜，人口占比位居全国地市前列。\n　　市文明办副主任杨体忠表示，淮北依托二十四孝之蔡顺“拾葚供母”故事发生地的人文基础、小推车参战支持淮海战役胜利的红色基因、建市59年孕育形成“燃烧自己、温暖他人”的煤城品格等优势，弘扬传承地方优秀传统文化，实施文明礼仪和诚信宣传教育，促进市民文明素质的不断提升。 （中江网记者芦艳摄像报道）\n"
"祁东县人民政府-湖南要闻","旅游","　　9月3日，湘江干流省级河长会议在衡阳召开。省委常委、常务副省长谢建辉出席。\n　　上半年，湘江流域Ⅰ至Ⅲ类水质断面占99.4%，同比提高3.2个百分点。\n　　谢建辉指出，全面推行河长制，是践行习近平生态文明思想的具体实践，是落实绿色发展理念、推进生态文明建设、推动高质量发展的内在要求。各级各相关部门要提高政治站位，持续发力、久久为功，切实增强“守护好一江碧水”的思想自觉政治自觉行动自觉，落实好河长制各项工作。\n　　谢建辉强调，要突出工作重点，对标习近平总书记“守护好一江碧水”殷切嘱托、中央环保督察及“回头看”整改、长江经济带生态环境突出问题整改、湘江保护与治理第三个“三年行动计划”等，逐项落实、逐步推进。要强化问题导向，从思想认识、环境质量、风险隐患、产业结构、基础设施、日常监管、支撑保障等方面找差距、抓落实。要紧盯目标要求，以湘江干流“一河一策”及专项实施方案明确的目标为引领，严格对标、整改落实。要强化工作责任，认真履行河长职责，统筹协调、上下联动。要坚持改革创新，着力推动理念创新、方法创新、机制创新。\n　　会前，谢建辉巡查了湘江衡阳段。\n　　(文/邓晶琎)\n"
"红塔区农村农业局调研组到梁王坝社区调研乡村振兴","旅游","本网讯（梁王坝社区）“要以产业扶贫为核心，大力发展现代农业，休闲旅游业和农产品深加工等产业，推动形成‘一县一业’、‘一村一品’的发展大格局。”8月28日，红塔区农村农业局局长李超同志率领调研组到梁王坝社区调研乡村振兴和‘一县一业’、‘一村一品’项目。\n调研组一行来到田房水库进行现场调研。通过查看未来规划图，结合社区现有的自然资源。调研组提出，乡村振兴要立足本地资源优势、产业优势，要将新农村建设、农业产业发展、现代休闲旅游有机结合起来，大力发展花卉产业，推动花卉产业行成规模化，促进农村农业实现更好更快更高质量的发展。\n随后，一行来到梁王坝社区召开座谈会，认真听取梁王坝社区党总支书记、居委会主任陈绍武同志对乡村振兴和田园综合体的未来规划、目前的工作进展、存在的问题。\n李局长对社区未来规划发展给予了高度肯定，并对‘一县一业’、‘一村一品项目提出了建议，希望社区进一步深入思考，围绕开发培育特色农业,通过大力推进规模化、标准化、市场化和品牌化建设，结合基础设施建设、乡村发展战略,形成了具有区域特色的优势农产品产业区和产业带,实现了区域化布局、专业化生产、整体化推进的格局。\n"
"定了！国庆放假通知发布！去哪儿耍？","旅游","今天一早，#国庆节放假通知#以飞一般的速度升至微博热搜榜。\n经历了7、8月的炙烤，大家渴望放飞的心情早就按捺不住了。\n2019年国庆节放假时间已确定，根据国务院办公厅通知精神，今年国庆节放假七天。\n放假时间如下：\n10月1日（国庆节）至7日放假一周；\n另9月29日（周日）和10月12日（周六）上班。\n虽说国庆有7天假，但因为前后两天补班，所以实际只有五天假期（还得算上周六周日），去了周六周日，实际只有三天 。\n网友纷纷表示，“太崩溃了”。\n知道真相的你，有没有流下伤心的泪水。\n大家请控制住自己的洪荒之力，生活嘛，求个盼头而已~\n好不容易等来的假期，当然想出门转一转啦~但是大家要注意了！中秋假期高速公路是不！免！费！的！\n春节、清明节、劳动节以及国庆节，这四个法定节日期间，高速是免费通行的。\n而中秋节虽然是法定节日，但是并没有在高速免费的范围中。\n每年国庆出游，热门景点基本都是人山人海，走一步都很困难，别说享受美景了。\n错开那些热门旅行地，在其他地方，你也许会有意想不到的收获。\n很多人都说甘南，是一个除了海拔以外，比西藏更西藏的地方，去过的人，无一不被它绚烂的风景所吸引。\n而秋天的它，则会比你想象中的要更加美丽，红、黄、蓝、绿......斑斓的大地，飘扬的经幡，整个世界，都仿佛是琉璃梦境的延伸，透着令人迷醉的风光。\n如果说夏天的青海，是大气中带着一丝清新秀美，那么它的秋天，则是苍茫中带着些许空旷静美。\n它的秋，没有众人的喧嚣，带着将要被大雪封山的决然，那触手可及的云，那湛蓝的天，那迷人的日出日落......都将是你一个人的风景。\n香格里拉的秋或许没有北国的秋绚烂，但是它一定要比你想象中的梦幻。\n那山、那水、那树、那人，恍若跌落凡尘的明珠，伴着秋日的阳光，奏出了一曲轻柔悠远的音乐，让人不禁沉醉在那无边的秋风里。\n如果你想有一个不一样的旅行，在沙漠里狂野露宿，在深夜静静的看那没有污染的纯净星空，那不妨就去这里。\n而且在这里，你不仅可以登上世界最高的沙峰俯览大漠风光，还可以寻找那深藏于其中的湖泊，感受那美丽与死亡并存的风景。\n秋日的喀什，是它一年中最美丽的时刻。\n或许是因为黄叶灿灿，或许是因为十月红枣挂满枝头，或许是因为那独特的人文，总之，秋日不去喀什，就等于没有来过新疆。\n很多人，都喜欢胡杨，每到秋天，不去看看金色的胡杨，心头就仿佛少了些什么东西。\n而在塔里木河流域，则有着不逊色于额济纳的金色胡杨，夕阳西下，流水汤汤，偶尔一阵风过，那纷飞的树叶，定会成为人生中最美丽的风景。\n十月，天高云淡，避开汹涌的人流，寻一片秋风静美之所，看红叶染透群山，看落日浸染云霞独照大漠胡杨......\n"
"汇率大跌，现在去土耳其不吃亏！Amanruya 诠释土耳其的不同印象，爱琴海边的安缦有点“性冷淡”！","旅游","人民币贬值，不少旅行者都因此困扰不已。最热门的美国和日本都因此大幅“涨价”。\n其实，即使人民币贬值，你的旅行目的地还是有不少选择的，比如因此性价比变高的欧洲和英国，以及最近就是旅行最佳时期的土耳其 。\n?thediaryofanomad/ Instagram\n要知道，自 2018 年下半年开始，土耳其里拉就已经连续 2 次暴跌。即使人民币贬值，土耳其旅行依然不亏！更何况，处于地中海气候的土耳其，每年 5-10 月为最佳旅行时间 。\n此时此刻的爱琴海、地中海海岸和伊斯坦布尔都是气候宜人。不仅天气晴朗，适合乘坐热气器，拍些美美的照片，现在尤其是爱琴海体验海水浴的好时候！\n去土耳其旅行，爱琴海边的避世天堂不能少。\n而博德鲁姆 ，则是爱琴海海岸酒店控必须打卡的目的地。安缦的土耳其分号 Amanruya 恰好就落址在此。\n初见 · Amanruya\n和所有安缦一样，Amanruya 也是选址不俗：占据爱琴海东南海岸的博德鲁姆半岛一个宁静的山谷，四周环绕着地中海松林和古老的橄榄园，从山谷上俯瞰，可以欣赏到绝妙的壮阔海景。\n?renee_kamps/ Instagram\n虽然从博德鲁姆市区驱车前往，也不过 30 分钟。可是当你抵达 Amanruya 后，仿佛是来到与世隔绝的避世天堂。\n也正如 Amanruya 的含义“宁静之梦”，这里松林苍翠，博德鲁姆湾海水温暖清澈，是名副其实的宁静之梦。\nAmanruya 的美，会让你觉得这里似乎不像是在土耳其，像是希腊的古村落。蜿蜒小径，通往卵石滩保护区，庭院和露台颇具村落的天然私密氛围，而石块、木材和土耳其大理石等当地材料的使用则组成了一幅永恒的天然画卷。\n地中海 & 土耳其，异域风情\nAmanruya 是少数不多官方图片和去过客人实拍图有“差异”的酒店。官方图片清一色的特别“性冷淡”，可是去过的人都会爱上这里独特的风格和美丽。\n这家安缦土耳其分号，没有邀请安缦贯用的大师，而是选择了土耳其当地的设计师建造的。\n最初由三次获得阿迦汗建筑奖的“智者”建筑师 Turgut Cansever 参与设计，可惜大师没能亲眼见证 Amanruya 落成便逝世了；于是由建筑师 Emine ??ün 和 Mehmet ??ün 接手了项目。\n设计师汲取了博德鲁姆厚重的历史，Amanruya 红色砖块垒砌的建筑灵感就是来自于当地古老而传统的建筑。整体风格融入了地中海元素和土耳其元素，最终呈现出了一出融合地中海与奥斯曼土耳其风情的度假村。\n?irinasergunina/ Instagram\n被地中海松林和橄榄树包围的 Amanruya，内部空间大多不加修饰，形成了整体明快简洁的空间。不过，简洁的同时带有当地特色，比如奥斯曼气息的洋葱顶拱门，以及位于墙体上部的蜂窝形圆孔。\n室内的装饰也都是充分尊重了周围的原始自然环境，家具和门窗则是使用深色的原木打造，墙面的装饰也是由石头手刻而成。岩石的运用、木材的搭配都极富地域性。\n颇具村落氛围，却极简奢华\n所有建筑都受当地的建筑特色启发的 Amanruya 由 36 座结构相近的露天泳池别墅 组成。\n庭院和泳池设计风格各异，颇具村落的天然私密氛围，又不失空旷奢华之感。\n通过小巧的门廊通向客厅，进入房间。房间内秉着这安缦一贯的设计理念，空间非常开阔、宽敞。\n地面铺设白色大理石，高高的天花板由原木制成，浴室则采用土耳其独有的风格，以白色大理石修建。\n以 Bursa 拱形相连的卧室和浴室是经典的土耳其风格 ：卧室内的四柱豪华床装饰着白色帷幔，随海风轻轻摇曳，浪漫至极；光线明亮的浴室，你可以一边沐浴，一边饱览花园景致。\n每栋别墅的专属无边泳池，采用花岗岩打造，爱琴海岸的和煦暖阳透过屋顶藤架散落一地，躺在池畔休息，瞭望远处风光，如痴如醉……\n融入土耳其当地，读懂其美\n走出客房，可以前往 Amanruya 位于独立石屋之中的各项设施，图书馆、葡萄酒廊、精品店、美术馆、水疗中心……\n尤其是位于私密顶层休息室的三层楼图书馆，窗外便是美轮美奂的海洋和树林风景 。\n你可以按照自己的喜好和需求尽情挥霍这悠闲、自在的时光。另外，Amanruya 还设有有一个 50 米长的大理石游泳池，以采自安塔利亚的绿色和青绿色大理石为原材。\n经过精心打造的泳池，从视觉上营造出与爱琴海相融的和谐景象，仿佛可以直接从泳池游向温暖的大海。\n?sylviahoghjoo/ Instagram\n距主楼约 500 米处为休闲娱乐之处——沙滩俱乐部，坐落在海岬怀抱内，参天大树环绕，俱乐部旁边还有小卵石滩、防波堤和一座近海浮桥，景色格外壮美。\n沙滩俱乐部可以俯瞰度假村的私家海湾，欣赏田园诗般的景致，一系列私密的凉亭和露台巧妙地设于茂盛的树丛之中，土耳其式休闲长沙发点缀其间。\n俱乐部树丛中设有沙滩餐厅，供应新鲜捕捞的鱼类烧烤 、营养沙拉和土耳其式小点。现在俱乐现新增设?个柴烧烤窑，供应??其薄饼，以及其他烧烤菜式，以发掘??其的真正味道。\n新开设的酒吧则提供混合本地?草的招牌鸡尾酒，以及来?独?葡萄园的各类葡萄酒，每晚更有现场?乐表演，是欣赏?落的绝佳地点 。你可以在这里欣赏到静谧的海水、壮丽的日落以及令人心动不已的满天繁星，凭借这里宁静祥和的氛围，整个人都能够安静下来。\n不过，最放松的方式莫过于在水疗中心享受一次地道的土耳其浴 ！既然来到土耳其，自然不能错过体验最正宗的土耳其。好好享受，放松紧绷的神经。\n住在 Amanruya，若是酒店内不够满足你，可以去附近蜿蜒的小道远足、进行一次山地骑车或骑马，美丽的沙滩和林间空地则是野餐的理想场所；不乏迷人的自然景观博德鲁姆也可以让你无限亲近爱琴海，划船和其他水上运动都是不错的选择。\n历史文化喜好者，则不要错过当地迪迪马、米利都城、普南城和以弗所等沉淀数千年的古城遗址。\nAmanruya 3晚\n点击查看 TraveliD 安缦独家优惠\n套餐内容：\nPool Villa 3晚\n每日双人早餐\n酒店往返博德鲁姆机场接送机\n免费升级房型（视房态情况）\n一次双人60分钟 SPA 按摩\n一次双人浪漫晚餐（含一瓶当地产葡萄酒）\n（更多信息请参见小程序“预订须知”）\n适用入住日期：\n即日起 - 2019年10月31日\n（更多信息请参见小程序“预订须知”）\n预订方式：\n1. 通过点击小程序直接下单或咨询客服（推荐）\n2. 微信微信号：res_travelid\n3. 电话：021-31779765（周一至周五 10:00-18:00）\n在安缦，你是不需要担心如何打发时间。更何况博德鲁姆的海，再适合不过在海边发呆、放松。而在 Amanruya，你只需要担心，一不小心，自己就会想一直在这里住下去......\nYou May Also Like\n"
"本地人告诉你：西安旅游不得不去的几个地方，它们才是西安的代表","旅游","秦川八百里，上下五千年，自古帝王州，屈指数长安。\n西安，十三朝古都。名胜古迹多如牛毛，网上搜一下旅游攻略，雪花般的介绍肯定让你应接不暇。今天就让小编用自己的亲身体验为你推荐几个不得不去的地方。\n1. 兵马俑（门票：3月1日--11月底150/人，12月1日--2月底120/人）\n说到西安就不得不提到秦始皇兵马俑，世界八大奇迹之一。对于这里小编不需要太多说什么，大家都耳熟能详了。小编需要温馨提示：一定要买讲解！一定要买讲解！一定要买讲解！重要的事情说三遍。如果没有讲解过去看也就是一堆黄土和一群小土人。当然如果预算有限，可以蹭导游，小编就有幸蹭到了一个非常有激情的导游，感觉也是棒棒哒。\n2. 华山（门票：3月1日--11月底180/人，12月1日--2月底100/人）\n华山是中国著名的“五岳”之西岳，有“奇险天下第一山”之称。华山的雪景是非常漂亮的，非常适合现在的季节。如果你要爬华山，最棒的体验就是晚上10点开始爬，早上刚好可以看到日出，然后把各个峰的景色全部看一遍。这样其实特别累，不过是个很好的体验。华山的路大多是直的，由于晚上你看不到太多人，只能看到点点灯光，一直延伸到山上。当然如果时间不够或者体力不支，您也可以坐索道上山。小编温馨提示：棉袄是必不可少的，山里的夜很凉，更何况是山顶；一定要注意安全，特别是雪天去。\n3. 华清池（门票：3月1日--11月底150/人，12月1日--2月底120/人）\n一曲长恨遗人听。别名华清宫，包含原骊山国度丛林公园，位于西安市临潼区，与圆明园，颐和园，承德避暑山庄并称为中国四大皇家园林。这里也是当年四大美女之一的杨贵妃洗澡的地方，唐玄宗与杨贵妃的佳话就是从这里传出的，这里五步一廊十步一阁，风景如画，这里还有烽火戏诸侯，西安事变等旧址。小编对这里还是好感满分的，推荐一去。\n4. 音乐喷泉广场（免费）\n位于大雁塔的北广场。亚洲最大的音乐喷泉，拥有5个世界之最。喷泉的水面面积可达2万平方米，时而莲花朵朵，时而云海茫茫，还有海鸥展翅、水火雾以及60米高喷水柱等众多表现形式，结合音乐，使整个表演变得极为协调统一。适合晚上过来游玩，在灯光的映衬下，显得更加的绚丽多彩，可以在逛完回民街后去看。\n时间：夏季（6月10日起）晚上为21:00，冬季（10月6日起）晚上为20:30，温馨提示：11月到次年1月一般没有表演，春节时例外。\n返回搜狐，查看更多\n"
"载中国游客大巴新西兰翻车事发高速路段关闭！普通话翻译已到现场","旅游","9月4日，南都记者从外交部领事保护中心获悉，一辆载有23名中国游客的客车因雨天路滑在新西兰罗托鲁瓦附近发生翻车事故。目前警方已确认6人死亡，其余17人被送往附近医院救治。据了解，出事高速路段已关闭，一名普通话翻译已经抵达救护车基地。\n一名当地警官表示，他们到达现场以后就对周围人发出警告，“这是一起重大事故，现场到处都是人，你现在不能再靠近了。”\n事发地附近一家咖啡店店主回忆，“从声音听起来，情况很严重。有几个路过的人说，他们看不见这辆车，听起来像是它从路边滑下去了，倒在一边，可能是掉进了沟里。”他在警戒线外看到，幸存者裹着毯子从事故现场出来，警方在现场安慰他们。\n据悉，事发地点位于新西兰怀卡托地区国家5号公路。当地警方表示在4日11时接到交通事故求助，圣约翰医院发言人透露已派出5架直升机和5辆救护车前往现场。\n有当地居民留言称事发时刚刚经过5号公路，“一些巴士在此的行驶速度过快。”目前，新西兰怀卡托地区国家5号公路部分路段已经关闭，救援仍在进行中。\n南都记者从中国驻奥克兰总领事馆获悉，目前驻新西兰使馆会同驻奥克兰总领馆已启动应急机制，协调新西兰有关部门做好现场处置和伤员救治，已派员赶赴现场开展工作。\n采写：南都见习记者 诸未静 黄驰波\n"
