title,category,content
"快讯：特高压概念股拉升","时政","　　9月4日讯，特高压概念股拉升，风范股份直线拉升封板，国电南自、国电南瑞、汉缆股份等快速跟涨。\n"
"金敏喜_天天快报","时政","第一时间获取最新行业数据、研究成果、产业报告、活动峰会等信息。\n"
"【图文】自治区推进农业水价综合改革","时政","8月31号下午，自治区在我市召开会议，推进农业水价综合改革。会议总结了全疆农业水价综合改革取得的阶段性成果，并就下一步工作作出部署。自治区党委常委、自治区副主席艾尔肯·吐尼亚孜出席会议并讲话。\n会议的主要任务是贯彻落实习近平总书记“节水优先、空间均衡、系统治理、两手发力”的新时期治水方针，认真分析总结自治区以水价改革为牵引、以工程节水为主线、以水权改革和小型水利工程产权制度改革及“三项补贴”落实为辅助的农业节水和高效用水模式，加强各地交流，推广成熟模式，对全区农业水价综合改革工作进行再部署，确保改革扎实推进，取得实效，更好地保障农业生产、乡村振兴，真正推动当地发展，造福各族群众。\n会议明确提出，到今年年底，自治区累计实施农业水价综合改革面积将达到1863.49万亩。针对当前存在的农业用水比例高、用水效率低等问题，会议要求各地坚持问题导向，综合施策，两手发力，因地制宜，以点带面，探索创新，切实攻坚克难，确保改革任务落到实处。\n昌吉市、哈密市等农业水价综合改革先行地区相关部门负责人还在会上作了交流发言。\n当天下午，与会代表还实地观摩了我市三屯河西干渠首及灌区计量设施、二六工镇光明村高效节水建设、二六工镇春贤农民用水合作社农村水利管理等情况。\n州党委副书记、州长金之镇、市委副书记、市长马红军等领导参加推进会。（文：市电视台赵黎声 图：市电政办陶美玲）\n责任编辑：陶美玲\n"
"平等磋商须坚守共识 中国言行一致望美相向而行","时政","　　中美经贸磋商需要平等和相互尊重，离不开重信守诺。如果真想同中方达成互利双赢的协议，美方一些人就必须做到坚守共识原则，与中方相向而行，诚心诚意回到正确轨道上来。\n　　人民日报3日发表钟声署名文章《坚守共识原则，中国言行一致》。文章强调，珍视共识，践诺守信，才有谈的前提，才有解决问题的机会。中方始终主张通过谈判磋商解决中美经贸问题，并一直本着最大的诚意积极磋商，认真落实两国元首共识及双方经贸团队的磋商成果。\n　　为回应美方关切，中方短短4个月即完成对芬太尼类物质进行整类列管的法律管制程序，并于今年5月1日起正式实施。今年6月底中美元首大阪会晤，美方提出希望中方从美国增加进口。7月，中国企业就采购大豆、棉花、高粱等农产品向美国供货商进行了询价，并成交了一批农产品。美方8月1日以中方不履行购买美国农产品承诺为借口再举关税大棒，但事实是美国农业部的出口销售报告就明明白白写着当日一家中国企业购买美国大豆的记录。究竟是谁在违背共识？事实胜于雄辩。\n　　国家禁毒办3日召开新闻发布会，向外国驻华执法及警务联络官和新闻媒体通报中国芬太尼类物质管控工作情况。通报称，自5月1日起对芬太尼类物质整类列管以来，中方未发现制贩走私芬太尼类物质犯罪案件。\n　　为严防芬太尼类物质走私出境，9月2日，国家禁毒办会同公安部、海关总署、国家邮政局，部署在12个省市开展为期3个半月的打击芬太尼类物质犯罪专项行动；督促寄递企业严格落实“实名收寄、收寄验视、过机安检”三项制度，并加大对重点口岸出口货物查缉力度。\n　　究竟是谁在违背共识？事实胜于雄辩。\n　　美方一些人一再升级对华贸易摩擦，严重违背中美两国元首阿根廷会晤共识和大阪会晤共识，背离了磋商解决分歧的正确轨道。世人皆叹，如此冲击互信基础，中美经贸问题如何能够解决？\n　　我们一再强调的是，中美两国元首达成的共识，为双方解决经贸问题指明了方向和路径。悟透中美双方存在的巨大利益交集，从根本上认清经贸合作的本质是互利双赢，才能踏踏实实在平等和相互尊重基础上通过磋商解决经贸问题。(方晓)\n"
"预防接种_天天快报","时政","第一时间获取最新行业数据、研究成果、产业报告、活动峰会等信息。\n"
"吴亦凡_天天快报","时政","第一时间获取最新行业数据、研究成果、产业报告、活动峰会等信息。\n"
"新西兰一辆载有23名中国游客的大巴侧翻 已致6人死亡","时政","央视新闻客户端9月4日消息，当地时间9月4日上午11点19分，新西兰罗托鲁瓦市发生一起涉中国公民重大交通事故。一辆载有23名中国游客的旅游大巴发生侧翻，造成6人死亡，多人受伤。目前事故原因正在调查过程中，伤员已被送往附近医院救治。\n本文图自央视新闻客户端\n事故发生后，驻新西兰使馆立即启动应急机制。使馆工作组第一时间赶往事故发生地，向遇难者表示哀悼，向伤者表达慰问并提供协助，会见当地警方负责人并要求全力做好事故调查和后续救助工作。使馆还向新政府有关部门通报事故情况，要求新方采取有效措施，全力救治伤员，尽快调查事故原因，协助中方做好应急处置工作。\n如有需要，可联系中国驻新西兰奥克兰总领事馆值班电话：0064-274-881836\n（央视记者 林清辉）\n"
"特朗普发伊朗卫星图实为神秘隐形无人机拍摄？","时政","　　【环球时报报道】尽管这张高清照片被普遍认为是间谍卫星拍摄，但也有不同意见。地球基金会专家梅丽莎·汉纳姆认为，这个图像的分辨率达到10厘米，已超出了卫星的物理极限，不可能是侦察卫星拍摄的。她认为，大气层太厚了，各种光学扰动使得卫星拍摄不可能达到9-11厘米的分辨率。美国Thedrive网站认为，这张照片的拍摄角度较低，进一步增大了无人机拍摄的可能性。美国过去曾使用隐形RQ-170 “哨兵”无人机来监视伊朗境内的地点。\n　　一位匿名中国专家对《环球时报》记者表示，确实存在这种可能性。美国之前经常派出无人机到伊朗空域实施侦察。仅确认被伊朗击落或者迫降的就包括“全球鹰”、RQ-170“哨兵”、“扫描鹰”等众多型号。目前美伊关系紧张，美国加大对伊朗的侦察力度是非常可能的。特别是在“全球鹰”被击落后，派出“哨兵”这类隐形无人机实施侦察是一个可能的选择。无人机飞行高度相对较低，距离目标较近，那么拍出高质量照片就不成问题。实际上，像“扫描鹰”这种小型无人机，就能拍摄出这种质量的照片，甚至有媒体称其“能看清敌方士兵的面部表情和他们咖啡杯上冒出的热气”。\n　　不过专家认为，仅从拍摄角度较低还不能确认是否是隐形无人机等航空器拍摄，因为KH-11这类大型侦察卫星具有很强的倾斜拍摄能力。\n　　也有分析认为，或许是美国高超音速侦察机拍摄的。但专家表示，从目前透露的信息来看，美国的高超音速侦察机尚处于研制阶段。而且这种高超音速飞行器通常不能隐形，如果用于侦察伊朗目标，可能会被伊朗雷达探测到，至少会引发伊朗抗议。如果这类飞行器的飞行航线相对固定，甚至可能被伊朗目前装备的S-300击落。▲\n"
"制造袭击　阿富汗塔利班给美国特使“下马威”","时政","制造袭击阿富汗塔利班给美国特使 \" 下马威 \"\n王宏彬\n阿富汗塔利班 2 日晚在首都喀布尔一处外国人居住区发动自杀式袭击，给来访的美国政府阿富汗和解事务特别代表扎尔梅 · 哈利勒扎德一记 \" 下马威 \"。\n阿富汗内政部发言人纳斯拉特 · 拉希米说，一名自杀式袭击者当晚驾驶一台装有炸药的拖拉机在 \" 绿村 \" 西墙外引爆，致使 16 人死亡、119 人受伤。\n\" 绿村 \" 戒备森严，是多个外国机构所在地，区内居住人员主要是联合国工作人员、外交人员和北大西洋公约组织商业合作伙伴等。拉希米没有说死伤者中是否有外国人，只说安全部队营救了大约 400 名外国人。\n拉希米说，安全部队打死 5 名配合自杀式袭击的武装人员。\n阿富汗塔利班随后声称制造这一事件，说一名自杀式袭击者和多名枪手协同行动。\n袭击发生前几个小时，美国政府特别代表哈利勒扎德向阿富汗总统阿什拉夫 · 加尼通报美国与阿富汗塔利班谈判的协议草案，声称双方 \" 原则上 \" 达成一致。\n哈利勒扎德当天早些时候出现在阿富汗黎明新闻网一档采访节目中。这名在阿富汗出生的美国外交官用达里语告诉主持人，协议签定后，美国将在 135 天内从驻阿富汗的 5 座军事基地撤走 5000 人。\n美军现阶段在阿富汗驻扎大约 1.4 万人。美国总统唐纳德 · 特朗普上周说，美国打算从阿富汗撤军，但不会全部撤离，暂时保持 8600 人规模。\n哈利勒扎德说，美国与阿富汗塔利班的协议旨在结束战争、减少暴力，至于和解与停火，要靠阿富汗人自己解决。阿富汗政府与塔利班代表可能会在挪威对话。\n哈利勒扎德拒绝明确美国的分阶段撤军计划何时完成。美方先前说，视情况决定撤军步骤；阿富汗塔利班要求美军和北约驻军立即走人。\n哈利勒扎德在卡塔尔首都多哈结束与塔利班第九轮谈判后，本月 1 日抵达喀布尔，当天和次日两次会晤加尼。他定于本周晚些时候再次与塔利班代表会面。\n美国和塔利班方面最近对短期内达成协议多次表达乐观。塔利班发言人扎比乌拉 · 穆贾希德和美国总统特朗普上周分别说，双方 \" 接近达成协议 \"。第九轮谈判结束后，哈利勒扎德说双方 \" 站在达成协议的门槛上 \"。\n美国与塔利班代表去年年底开始在多哈谈判，主要议题包括美国从阿富汗撤军、塔利班确保阿富汗不会成为极端主义武装对外发动袭击的温床、阿富汗内部对话和全面停火。\n阿富汗政府主张，阿富汗和平进程必须 \" 阿人主导、阿人所有 \"。但是，塔利班认定阿富汗政府是美方扶植的 \" 傀儡 \"，拒绝与政府直接对话。\n阿富汗塔利班一边与美国谈判，一边加大军事攻势，以增加谈判筹码。塔利班 8 月 31 日和本月 1 日先后进攻北部重镇昆都士和北部巴格兰省首府普勒胡姆里。\n美国国务卿迈克 · 蓬佩奥先前说，美方原本希望与塔利班在 9 月 1 日以前确定协议。阿富汗总统选举定于 9 月 28 日举行，暂时不清楚选举是否会如期举行。（完）（新华社专特稿）\n关键词：扎尔梅 · 哈利勒扎德 ( Zalmay Khalilzad )\n"
"伊朗油轮关闭GPS失踪，最后现身地点曝光，美俄大批军舰赶来","时政","据中东媒体9月4日最新消息，日前伊朗“阿德里安-达利亚”号油轮堪称是全球关注的焦点，这艘轮船在从直布罗陀释放之后一路向东航行，期间美国警告各国不准为其提供燃料或补给物资，使得伊朗船只面临着耗尽燃料在海上漂泊的风险，期间有关伊朗油轮的最终目的地猜测纷纭，而美军第六舰队则一直对其进行跟踪，如果确定其目的地是被制裁的叙利亚，那么将迅速出兵将其拦截并扣押，不准伊朗将船上的210万桶石油交付给阿萨德当局，这将大大改善该国的能源危机，同时还将为叙装甲部队提供急需的燃料，一鼓作气发动新一轮进攻，消灭盘踞在该国西北部的最后叛军。\n据最新报道，就在伊朗“阿德里安-达利亚”号油轮经土耳其海域南下，穿过黎巴嫩沿海进入叙周边海域时，却突然关闭了船上的GPS定位系统失去踪迹，美军方也证实了该船的GPS定位已经失灵，在失联之前，伊朗油轮最后现身的地点是邻近叙港口城市塔尔图斯的海域，这里是俄地中海舰队的母港，部署有规模可观的作战舰艇，据悉目前美俄大批军舰正在赶往事发海域，但是两者的目的显然不同，俄海军更像是接应行动，而美军则显然是为了搜索伊朗油轮的踪迹。\n据悉经过美军侦察机的确认，伊朗油轮一度出现在叙沿海城市巴尼亚斯附近，这里有着该国最大的炼油厂，美国方面认定，伊朗之前向英属直布罗陀当局的承诺并未兑现，当时英美方面称，释放伊朗油轮的先决条件就是船上的石油不会交付阿萨德当局，然而从目前伊朗油轮在叙海域关闭GPS导航应答设备一事来看，显然伊朗还是打算将这些石油交付给其主要盟友。\n据报道，近期面对美国的不断威慑，伊朗的应对却越来越从容，德黑兰开始充分利用自己的优势，软硬兼施对美国进行反向施压，最近伊朗对美国喊话主动释放善意和解，声称答应一条件可重新谈判，那就是解除对伊朗的制裁，包括石油出口封锁，并取消对伊朗油轮的制裁和禁令，专家认为，伊朗这种主动释放善意的姿态给美伊关系问题指出了一条明路，目前全世界都紧盯白宫的反应，能否解决中东不断升级的危机就看美国的反应了。\n"
