title,category,content
"9月4日越盾对美元汇率中间价上调7越盾","社会","（人民报）越南国家银行9月4日上午将越盾对美元汇率中间价较前一交易日上调7越盾，1美元对23146越盾。\n"
"昨稱「討厭外省人」挨批　柯文哲今否認：我已是最沒省籍對立的人了","社会","台北市長柯文哲昨日接受廣播節目專訪時，說出自己還是綠底，小時候在家族言談間，就討厭外省人。柯文哲今（4）日受訪時被問到，現在心境還是討厭外省人？柯文哲說「沒有」，他是二二八家族，他們小時候家族的氛圍就是很不喜歡外省人，是講上一代的故事。柯文哲表示，二二八到現在70年了，所有的仇恨可以過去就讓它過去，他爸爸每年二二八時間到會哭，像他兒子就不曉得跑到哪裡去玩了，那對他兒子來講就很遙遠，但對他父親沒辦法，那是他父親的故事，「我爸存在1天，對我來講有影響。」\n柯文哲上午出席信義區三興段資源回收廠基地公共住宅新建工程動土祈福典禮，會前受訪時，被問到日前講到討厭外省人的議題。柯文哲回應，為什麼他會說我們有不同的過去，但有共同的現在，到底要不要走向共同的未來？柯表示，他每次講說自己當然是墨綠出身的，但是當台北市長，是要服務所有的人，就像當醫生不會問黨籍，所以用這種心態來處理台北市政，就簡單多了。\n至於現在還是討厭外省人？柯文哲說，都已經過去70年了，民國36年二二八到現在70年了，所有的仇恨可以過去就讓它過去，事實上，他爸爸每年二二八時間到會哭，但像他兒子就不曉得跑到哪裡去玩了，那對他（兒子）來講就很遙遠，但對父親沒辦法，那是他父親的故事，「對我來講，我爸存在1天，對我來講有影響。」\n記者追問，這樣的說法是要搶回綠營的票？柯文哲表示，不要每次都說什麼票不票的，他的態度是該怎麼做就怎麼做。而這樣的說法，綠黨桃園市議員王浩宇則批柯文哲操弄省籍對立，對此，柯說，他已經是最沒有省籍對立的人了。\n"
"MIT微笑標章產品 9月起納入環保集點品項","社会","環保集點好康越來越多，行政院環保署長張子敬今天宣布， MIT微笑標章產品從9月1日起納入環保集點品項，民眾不論是搭乘大眾運輸、公共自行車、參加環保活動都可以得到點數回饋，而點數也可以循環用在購買環保產品、惜食餐廳消費、環保標章服務業、環教設施場所、國家森林遊樂區等，讓環保集點活動可以全面在「食、衣、住、行」各方面推動。\n張子敬表示，環保署從9月時推出周周抽百萬綠點、購買指定品項即贈2000點的新活動，微笑標章產品更與原有品項同享既有的周休二日綠點10倍送回饋，為環保集點注入新的活力，也讓環保集點活動成為市面上最優惠的集點系統。\n推薦\n環保署今天舉行「微笑地球精彩綠活」記者會，張子敬與工業局長呂正華，也共同呼籲國內通路業者支持環保集點共享點數商機，不但可提升產品製造業者申請微笑標章、環保標章或碳足跡標籤的誘因，促進綠色經濟循環。\n工業局長呂正華表示，環保集點制度新增成衣服飾、織襪、毛巾、鞋類及小家電等814款MIT微笑產品，加計原綠刀色商品共有1858款，買MIT微笑產品，就是愛地球，更能友持在地產業發展，鼓勵國內消費者多多購買。\n環保署表示，為了鼓勵業者生產綠色產品，從81年起推動環保標章，目前有超過120項的規格標準，市面上已經有約4500件的合格標章產品。多年來環保署也推動機關、民間企業的綠色採購，以及綠色商店，促進環保產品的生產及選購，根據統計，去年綠色採購金額達840億元，統計發現民間綠色採購金額是政府綠色採購的7倍以上。\n環保署表示，目前全國電子、大潤發、愛買、萊爾富、統一超商、東森購物網都是環保集點特約通路商，環保標章及碳足跡標籤產品已有超過千件的品項，包括家電、清潔劑、保溫杯、文具、食品，各式各樣的日常生活用品提供會員以點數兌換，32萬名環保集點會員總集點量已經超過50億點。\n環保署也說，環保集點平台和通路、電子發票結合，不須申請新的卡片，只要將電子票證、通路會員卡等，到平台網頁或手機App申請註冊會員並把卡片登記，環保集點網站公布的千項以上商品都可以讓你集到綠點，之後也可以用綠點去折價，回饋價值最高10%，是市面上最優惠的點數系統；另外，針對喜歡喝咖啡的朋友，環保署也持續推出在超商自備環保杯可以使用綠點限量兌換咖啡的活動。\n環保署長張子敬(左)及工業局長呂正華(右)體驗綠點兌換功能。圖／環保署提供\nfacebook\n"
"啤酒清凉沁心脾 减税政策促发展","社会","来源：东方今报\n　　博爱县啤酒产业自1981年开始，由月山啤酒品牌发展到目前燕京啤酒(河南月山)有限公司，历经从小到大、从弱到强，啤酒产销量在焦作周边占据主要市场，作为博爱县的主导产业一直以来都享受国家相关扶持政策及税收优惠。\n　　减税降费政策实施以来，博爱县税务部门为企业提供上门服务和“联络员”特约服务，让燕京啤酒有限公司充分享受减税红利和办税便利。“减税降费来的就像‘及时雨 ’，不断为企业发展注入新动力，提供更多的优惠，这些优惠都是真金白银啊。”燕京啤酒(河南月山)有限公司财务负责人王东力说，“公司1~7月累计享受减免税费183.7万元，其中因调整增值税税率调整政策，企业可享受减免增值税166.9万元、城市维护建设税8.3万元、教育费附加5万元、地方教育费附加3.34万元；因提高研究开发费用税前加计扣除比例政策，企业享受企业所得税减免1266.51元。”\n　　燕京啤酒(河南月山)有限公司企业负责人王启林高兴地说：减税降费政策的实施，企业感受负担明显降低，对刺激市场活动、带动产业升级、扩大市场占有份额起到了重要的推动作用。\n（文章来源：东方今报）\n[点击查看原文]\n"
"北京开拆高速路省界收费站 年底前省界收费站全取消","社会","　　北京开拆高速路省界收费站\n　　年底前省界收费站全部取消，ETC通道实现快速不停车通过\n　　昨日下午，首都地区环线高速的“采育南主线省界收费站”正式开始拆除改造，这是北京市范围拆除的首座省界收费站，标志着北京市高速公路取消省界收费站工程正式启动。记者从市交通委获悉，年底前，本市将取消包括首环采育南站、京台礼贤站在内的全部8个高速公路省界收费站，取而代之的是“ETC门架系统”，实现快速不停车通过。\n　　ETC门架土建部分已完工\n　　昨日15时20分，一辆大型机械车挥动摇臂，将采育南主线省界收费站的一个收费岗亭高高吊起并拆除，取而代之的将是ETC门架系统。\n　　首都环线高速路公司副总经理赵旭东介绍，采育南主线收费站的拆除改造将分两阶段实施。第一阶段，拆除靠近中央隔离带的5条ETC车道，剩余2条ETC车道和18条MTC车道，以保障车辆顺畅通行，预计本月底前完成路面改造等工程，达到基本通车条件。第二阶段，待全国联网ETC门架系统联调联试完成、车流改道后，拆除剩余20条车道收费设备。\n　　根据计划，收费站拆除后需要在附近建设4套ETC门架系统，目前ETC门架土建部分已完成施工。记者在现场看到，ETC门架系统类似架设在高速路上安装监控探头的龙门架，通过射频装置读取车载ETC的信息，实现对车辆行驶路径的精准记录。与目前ETC车道刷卡后“抬杆放行”不同，新的门架底下不再有杆，车辆可以真正实现“一路畅行”。\n　　年底前取消8个省界收费站\n　　市交通委公路管理处副处长范毅民介绍，根据《北京市深化收费公路制度改革取消高速公路省界收费站实施方案》，北京市将于2019年底前取消8个高速公路省界收费站。也就是说，设在北京界内的省界收费站将全部撤销。为了实现这一目标，交通部门需要建设ETC门架348个、出入口站车道改造1038条。\n　　范毅民介绍，市交通部门拟于10月底前完成ETC门架系统建设工作，以及京藏高速清河主收费站、京开高速西红门主收费站与五环路间物理隔离建设工作，于12月底前完成原实体省界收费站拆除、安全设施建设与路面恢复等工作。\n　　记者了解到，未来几年，北京市市域范围内的高速公路主线收费站也有望撤销，并实现ETC快捷收费。\n　　留一条“混合”车道\n　　范毅民介绍，按照交通运输部要求，预计到今年年底，高速ETC车道要达到90%以上，而北京的目标是全部车道都具有ETC功能。但由于还有车辆没有安装ETC，所以北京所有收费站均将保留一条ETC、人工“混合”车道。\n　　也就是说，如果车辆没有安装ETC，可以走“混合”车道，领复合通行卡缴费。这张卡功能和ETC类似，可以抓取车辆行驶轨迹，并进行计费。在车辆驶出时，可以通过微信、支付宝、现金等多种方式支付通行费。\n　　取消收费站，以后走高速不收费了吗？一些市民有此疑惑。范毅民介绍，取消高速公路省界收费站并非取消收费，而是通过不停车的方式，加快车辆通行速度，以达到缓解拥堵、降低机动车尾气排放、降低物流成本的目的。\n　　链接\n　　8个省界收费站将取消\n　　1、G45京承三期司马台出京收费站\n　　2、S15京津高速永乐出京收费站\n　　3、G3京台高速礼贤出京收费站\n　　4、G45京开高速榆垡南出京收费站\n　　5、G5京昆高速镇江营出京收费站\n　　6、G6京藏高速康庄出京收费站\n　　7、S32京平出京夏各庄收费站\n　　8、G95首都环线高速出京采育南收费站\n　　本报记者 孙宏阳\n"
"扎实推进“民生警务”战略 为建设平安绿色本溪护航","社会","　　郭振斌在采访中表示，全市公安机关在做好新中国成立70周年大庆安保工作的同时，还将重点做好以下三方面的工作：一是全力推进扫黑除恶专项斗争向纵深开展。进一步强化线索摸排、行业整治和专案打击等工作，切实做到扫黑到底、除恶务尽，坚决铲除黑恶势力在我市生存土壤，确保我市基层政权稳定、社会治安安定。二是全力打造更加优质高效的营商环境。持续深化“放管服”改革，把“马上办、网上办、就近办”和“一网清、一证通、一次跑、一厅结”服务举措，切实转化为广大群众的真实体验；扎实开展“万名民警联万企”活动，定期深入企业走访调研、征求意见建议，制定任务清单，推动落实解决，精准助力企业振兴发展。三是全力提升公安机关履职尽责能力。进一步强化党建工作的引领作用，围绕“四个铁一般”的标准，深入开展“不忘初心，牢记使命”主题教育及“践行新使命、忠诚保大庆、担当促振兴”等主题实践活动；不断创新基层党建工作方式方法，强化管党治警责任，持之以恒正风肃纪，着力营造风清气正的良好警风；进一步做实从优待警，深入推进公安机构改革，从体制机制上强化民警职业保障措施，维护民警执法权威和法律尊严，不断提升公安队伍建设质量，努力打造一支忠诚干净担当、党和人民满意的过硬公安队伍。\n"
"【1813】合景泰富8月預售額增14.1%","社会","合景泰富(01813)公布，8月份，預售金額61.71億元(人民幣，下同)，按年增加14.1%。\n期內，預售建築面積約34.2萬平方米，同比增加20.4%。(sl)\n"
"外卖小哥竟然在楼道里大便，已被平台永久拉黑","社会","如果突然肚子疼附近又没有厕所，你该怎么办？8 月 31 日，深圳一外卖小哥在送餐过程中，突然感到肚子不舒服。而他的选择却是在居民楼楼道里行方便。\n彭女士家住深圳市龙华区上早新村某栋 4 楼。同时，她也是这栋楼的房东。8 月 31 日下午 7 点多，彭女士一家人吃过晚饭后，想去附近公园散步。但打开门，她却闻到了一阵令人作呕的臭味。出门后，彭女士发现，在 3 楼通往 4 楼的楼道角落里竟然有一坨大便。\n彭女士所住楼房每层都设有监控，见此情景，她赶忙调取了当天的监控。查看后，她才得知，那坨大便是一个外卖小哥留下的。\n据监控视频显示，8 月 31 日下午 15 时 50 分许，一位身穿蓝色工服的外卖小哥，在给 5 楼的住户送完餐后，急急忙忙走到 3 楼通向 4 楼的楼道角落里，脱了裤子后蹲下。由于外卖小哥 \" 上厕所 \" 的地方属于监控死角，后续动作在监控中不甚清晰。\n发现是外卖小哥所为后，彭女士向 5 楼的租客索要了订单。随后，她联系了平台客服，希望对方尽快清理排泄物。彭女士介绍，当时客服工作人员称 24 小时之内给答复。\n事发次日，彭女士又将相关视频、图片等提交给了饿了么公司。但工作人员却回复称，当事外卖员不承认做过此事，事情具体的处理意见最快要等到周一（9 月 2 日）。\n为了保留证据，彭女士未清理排泄物。9 月 2 日，记者来到楼道后发现，大便已被遮盖起来。彭女士告诉记者，她现在唯一诉求是，饿了么尽快找人把排泄物清理干净，然后给整个楼道消毒。\n谈及外卖员的行为，彭女士感到不解。\" 人有三急，实在憋不住了，可以去住户家借用厕所，我们肯定会让他用的。退一步说，他真的憋不住了，在楼道内排泄后，把现场清理了，我们也不会难为他的，但他不承认做过，不主动清理，让我很气愤。\"\n就此事，9 月 2 日，饿了么相关负责人表示，经调查，该骑手承认，当时因为身体实在不舒服，才做出了不雅的行为，骑手表示很抱歉。目前，该骑手签约的代理公司已经和彭女士电话道歉，并达成一致，赔偿彭小姐的精神损失费和清理费用共 500 元。\n该名负责人介绍，骑手也已对自身的行为做出了反省，代理公司已对其进行了批评教育。此外，还对该骑手作出 \" 永久拉黑 \" 处理，该骑手再也不能派送饿了么订单。\n来源：广东经济科教\n（编辑 郭子煜）\n以上内容由 \" 看看新闻 Knews 综合 \" 上传发布\n"
"青岛机票查询预订,青岛出发打折特价机票【携程机票】","社会","青岛国际机场位于青岛市北部,离市中心约23公里。青岛国际机场现为国内干线机场,飞行等级为4E,现有3400米的跑道一条最大可起降机型B747-400。青岛机场候机楼面积6.4万平方米,分国内、国际两个区域,二层式流程(局部夹层),进出港分流。离港层设国内值机岛两座共32个办票柜台,设国际值机岛一座共12个办票柜台。国内区设有安检通道9条,国际区设有安检通道4条。候机楼安装了8部登机桥（施工期间关闭3部）,并拥有两个远机位出口。\n"
"不给钱就恐吓殴打父母 肥东30岁“啃老男”被拘留","社会","安徽网、大皖客户端讯 据@合肥警方消息 9月1日，@肥东公安新城派出所接章大姐报警称，其儿子把她手机摔碎还要打她，请求民警把儿子抓起来。民警调查后了解，章大姐的独子陈某今年30岁，常向父母索要财物，要不到就恶语相加甚至恐吓。章大姐不得已选择报警，希望儿子可以洗心革面重新做人。在经过充分调查取证后，目前，陈某被处以行政拘留8日。\n"
