数据源,title,content
网站,"Trump defends Kavanaugh, again","US President Donald Trump mounted an angry defense of Supreme Court ­Justice Brett Kavanaugh on Sunday as the controversial judge faced calls for an investigation, or even impeachment, over fresh allegations of sexual misconduct.Trump blasted the media and ""Radical Left Democrats"" after a former Yale classmate of Kavanaugh alleged that the jurist - one of the most senior judges in the land - exposed himself at a freshman year party.The latest allegation in The New York Times came after Kavanaugh denied sexual misconduct accusations leveled against him by two women during his confirmation to the Supreme Court in October.""Now the Radical Left Democrats and their Partner, the LameStream Media, are after Brett Kavanaugh again, talking loudly of their favorite word, impeachment,"" Trump tweeted. ""He is an innocent man who has been treated HORRIBLY. Such lies about him. They want to scare him into turning Liberal!""The new allegations came from Max Stier, who runs a nonprofit in Washington. His concerns were reported to the FBI during Kavanaugh's 2018 confirmation process but not investigated, according to the Times.Stier said he saw his former classmate ""with his pants down at a different drunken dorm party, where friends pushed his penis into the hand of a ­female student.""Stier has not spoken publicly about the incident but his story was corroborated by two officials, the Times said.It is the latest in a string of accusations of unwanted sexual contact or assault against Kavanaugh since Trump nominated him to the Supreme Court.Christine Blasey Ford testified before Congress that Kavanaugh sexually assaulted her in the 1980s, while Deborah Ramirez told The New Yorker that Kavanaugh had waved his penis in front of her face at a 1980s dormitory party.The latest allegation surfaced during a 10-month investigation by Times reporters Robin Pogrebin and Kate Kelly, and features in their upcoming book, The Education of Brett Kavanaugh: An Investigation.Trump called on Kavanaugh to take legal action over the claims, suggesting also that the Department of Justice should intervene on the judge's behalf and ""come to his rescue.""But Democrats seeking to be Trump's opponent in the 2020 election said the judge should be investigated - and three of them called for his impeachment."
网站,Kim invites Trump to Pyongyang in new letter,"The Democratic People's Republic of Korea (DPRK) leader Kim Jong Un invited U.S. President Donald Trump to visit Pyongyang in a letter sent in August, a Republic of Korea (ROK) newspaper reported on Monday, citing diplomatic sources.The letter, the second Trump received from Kim last month amid stalled denuclearization talks between the two countries, predated the DPRK's latest launch of short-range projectiles a week ago.In the second letter, which was passed to Trump in the third week of August, Kim spoke of his willingness to meet Trump for another summit, one source reportedly told the Joongang Ilbo newspaper."
网站,"In show of bond, Trump to join Modi in mass Houston rally","President Donald Trump will join Prime Minister Narendra Modi at a massive gathering of Indian-Americans in Houston, the White House said Sunday, in a symbolic show of the bond between the two leaders and countries.U.S. President Donald Trump meets Indian Prime Minister Narendra Modi for bilateral talks during the G7 summit in Biarritz, France, August 26, 2019. [File Photo: CARLOS BARRIA/Reuters via VCG]The September 22 rally -- dubbed, with a touch of Texan twang, ""Howdy, Modi!"" -- will mark a rare joint appearance between a US president and a foreign leader before an ethnic community, and be the pair's third meeting this year.Organizers say that more than 50,000 people have registered for the event, which will take place inside the NRG Stadium of the Houston Texans football team.The gathering is ""a great opportunity to emphasize the strong ties between the people of the United States and India, to reaffirm the strategic partnership between the world's oldest and largest democracies and to discuss ways to deepen their energy and trade relationship,"" the White House said.The White House said Trump would travel the same day to Ohio to showcase an Australian-owned factory alongside Prime Minister Scott Morrison, who will be on a state visit.The two joint appearances amount to a day-long attempt to nurture relationships with foreign leaders by Trump, whose brash style and outspoken remarks have frequently unnerved allies.The rally with Modi indicates that the two countries have turned the page on an incident in July when Trump baffled India by saying, in a meeting with Pakistani Prime Minister Imran Khan, that Modi had sought mediation on Kashmir, a flashpoint for conflict between the nuclear-armed powers.India has for decades rejected any outside role in Kashmir. Last month, India revoked Kashmir's autonomous status and snapped communications for much of the Muslim-majority region.India's actions drew criticism from the UN human rights chief and rights groups, with Pakistan urging pressure on India, although Trump has voiced support for Modi's actions.- Reaching across aisle -Trump and Modi have frequently drawn comparisons to each other, with the two right-wing leaders elected on vows to promote the identity of the majority community.But organizers hope to keep the September 22 rally non-partisan, with a cultural performance planned and invited speakers including Steny Hoyer, the number-two Democrat in the House of Representatives.The joint event shows ""the personal chemistry and friendship"" between Trump and Modi, Harsh Vardhan Shringla, the Indian ambassador to the United States, told AFP.""These are two leaders who are used to thinking outside of the box,"" he said, describing the joint appearance as ""unconventional and unique.""""The event will also reflect the strong bipartisan support there has been for US-India relations,"" he said, describing Indian-Americans as an ""organic bridge"" between the world's two largest democracies.Shringla said that Modi would also meet in Houston with energy companies before heading to New York for the UN General Assembly.Some four million Americans trace their origins to India and the community is among the most educated and prosperous in the United States.The average Indian-American household earned some $100,000 in 2015, nearly double the US average, according to the Pew Research Center.But while Modi will likely enjoy a rock-star reception in Houston, Indian-Americans are not expected to be a major base for Trump as he gears up to seek another term in next year's election.Some 84 percent of Indian-Americans voted in 2016 for his rival Hillary Clinton, making them among the most Democratic-leaning ethnic groups, according to polling by the Asian American Legal Defense and Education Fund.During the 2016 campaign, Trump took part in a rally in New Jersey at which he declared, awkwardly, ""I love Hindu."""
网站,Why is the Trump administration biased against Iran?,"Editor's Note : Huang Jiyuan is an opinion editor with CGTN Digital. This article is based on his interview with Wu Sike, Former Special Envoy of the Chinese Government on the Middle East Issue, former Chinese Ambassador to Egypt, and former Chinese Ambassador to Saudi Arabia. The opinions expressed in this article are not necessarily the views of CGTN.Two oil refineries in Saudi Arabia were attacked by drones over the weekend. Houthi movement, an armed organization operating out of Yemen, claimed responsibility for the attack. Despite the statement, U.S. State Secretary Mike Pompeo tweeted that ""Iran has now launched an unprecedented attack on the world's energy supply"". Before his tweet, the White House said that President Donald Trump has offered Saudi Crown Prince Mohammad Bin Salman ""his support for Saudi Arabia's self-defense.""As the situation escalates, many have cast doubt on Trump administration's knee-jerk reaction to link the attack to Iran. U.S. Senator Chris Murphy, member of the Senate Foreign Relations Committee, believes Secretary Pompeo's tweet is an ""irresponsible simplification"" and one cannot simply equate the Houthis to Iran. Besides, Saudi's own foreign ministry has been conducting its own investigation into the attack, and did not just issue a blanket condemnation on Iran. So where is the Trump administration's bias against Iran coming from?"
网站,Trump defends Supreme Court justice over fresh misconduct claim,"US President Donald Trump mounted an angry defense of Supreme Court Justice Brett Kavanaugh on Sunday as the controversial judge faced calls for an investigation, or even impeachment, over fresh allegations of sexual misconduct.US President Donald Trump speaks to the press on the South Lawn of the White House in Washington, DC, on September 9, 2019. [Photo: China News Service via VCG]Trump blasted the media and ""Radical Left Democrats"" after a former Yale classmate of Kavanaugh alleged that the jurist -- one of the most senior judges in the land -- exposed himself at a freshman year party.The latest allegation in The New York Times came after Kavanaugh denied sexual misconduct accusations leveled against him by two women during his confirmation to the Supreme Court last October.""Now the Radical Left Democrats and their Partner, the LameStream Media, are after Brett Kavanaugh again, talking loudly of their favorite word, impeachment,"" Trump tweeted.""He is an innocent man who has been treated HORRIBLY. Such lies about him. They want to scare him into turning Liberal!""The new allegations came from Max Stier, who runs a non-profit in Washington. His concerns were reported to the FBI during Kavanaugh's 2018 confirmation process but not investigated, according to the Times.Stier said he saw his former classmate ""with his pants down at a different drunken dorm party, where friends pushed his penis into the hand of a female student.""Stier has not spoken publicly about the incident but his story was corroborated by two officials, the Times said.It is the latest in a string of accusations of unwanted sexual contact or assault against Kavanaugh since Trump nominated him to the Supreme Court.- 'Shame' -Christine Blasey Ford testified before Congress that Kavanaugh sexually assaulted her in the 1980s, while Deborah Ramirez told The New Yorker that Kavanaugh had waved his penis in front of her face at a 1980s dormitory party.The latest allegation surfaced during a 10-month investigation by Times reporters Robin Pogrebin and Kate Kelly, and features in their upcoming book, ""The Education of Brett Kavanaugh: An Investigation.""Trump called on Kavanaugh to take legal action over the claims, suggesting also that the Department of Justice should intervene on the judge's behalf and ""come to his rescue.""But Democrats seeking to be Trump's opponent in the 2020 election said the judge should be investigated -- and three of them called for his impeachment.""These newest revelations are disturbing,"" Senator Elizabeth Warren said on Twitter. ""Like the man who appointed him, Kavanaugh should be impeached.""Senator Kamala Harris, whose tough questioning of the high-court nominee during his confirmation hearings raised her public profile, tweeted that Kavanaugh had ""lied to the US Senate"" and ""must be impeached.""Julian Castro echoed that charge, adding, ""Congress should review the failure of the Department of Justice to properly investigate the matter.""Republican Senator Ted Cruz dismissed the new allegation, however, as ""the obsession with the far left with trying to smear Justice Kavanaugh by going 30 years back with anonymous sources."""
网站,"Top Democrats, Trump not on same page over gun legislation","Video PlayerCloseWASHINGTON, Sept. 15 (Xinhua) -- Democratic leaders and U.S. President Donald Trump failed to get on the same page over gun legislation after a phone conversation on Sunday.In a joint statement, House Speaker Nancy Pelosi and Senate Democratic Leader Chuck Schumer urged Trump to endorse a bill that the lower chamber passed 200 days ago, which expands background checks to include guns sold at gun shows, online and through person-to-person sales.""We made it clear to the president that any proposal he endorses that does not include the House-passed universal background checks legislation will not get the job done,"" they said. ""The Senate must pass this bill and the President must sign it.""Though calling the conversation ""cordial,"" the White House said that Trump ""made no commitments"" on the bill but instead ""indicated his interest in working to find a bipartisan legislative solution on appropriate responses to the issue of mass gun violence.""The conversation came several weeks after two mass shootings, which occurred hours apart in El Paso, Texas, and Dayton, Ohio, took dozens of lives combined in August, and have rekindled a national debate on gun control.The Senate, controlled by the Republicans, hasn't taken up the House bill. Majority Leader Mitch McConnell said last week that the chamber is waiting for indications of what Trump is willing to sign.Chief executives of some of the nation's best-known companies last week urged the Senate to act on gun violence.""Doing nothing about America's gun violence crisis is simply unacceptable and it is time to stand with the American public on gun safety,"" read a letter signed by the heads of 145 U.S. companies, including Airbnb, Twitter, and Uber.As of Sunday, there have been 39,896 gun violence-related incidents in the United States this year, killing 10,555 people, according to Gun Violence Archive, a nonprofit research group. The number of mass shootings has already reached 300."
网站,Trump defends Kavanaugh after latest sexual misconduct allegations,"U.S. President Donald Trump rejected Democrats' calls for impeaching Supreme Court Justice Brett Kavanaugh on Sunday after a new report involving sexual misconduct allegations, encouraging Kavanaugh to sue for libel and suggesting the Justice Department could ""rescue"" him.What's Kavanaugh accused of?Some Democratic presidential candidates called for Kavanaugh's impeachment, saying he lied under oath, after a New York Times report on Saturday disclosed new information about sexual misconduct allegations against him.The Times essay, drawn from an upcoming book written by the newspaper's reporters, said it was able to corroborate an allegation by former classmate Deborah Ramirez that Kavanaugh exposed his penis to her during a drunken party at a Yale University when they were undergraduates.""Brett Kavanaugh should start suing people for libel, or the Justice Department should come to his rescue,"" Trump wrote on Twitter.It was unclear what action the Republican president was advocating the Justice Department take."
网站,Trump: US locked and loaded for response to attack on Saudis,"A weekend drone attack on Saudi Arabia that cut into global energy supplies and halved the kingdom's oil production threatened Sunday to fuel a regional crisis, as the U.S. released new evidence to back up its allegation that Iran was responsible for the assault amid heightened tensions over Tehran's collapsing nuclear deal.United States President Donald J. Trump waves as he walks on the South Lawn of the White House in Washington upon his return from Baltimore on September 12, 2019. [Photo: Yuri Gripas/CNP/AdMedia via IC]President Donald Trump said the U.S. had reason to believe it knew who was behind the attack — his secretary of state had blamed Iran the previous day — and assured his Twitter followers that ""we are ... locked and loaded"" depending on verification and were waiting to hear from the Saudis as to who they believe was behind the attack and ""under what terms we would proceed!""The tweets followed a National Security Council meeting at the White House that included Vice President Mike Pence, Secretary of State Mike Pompeo and Defense Secretary Mark Esper.A U.S. official said all options, including a military response, were on the table, but said no decisions had been made Sunday. The official spoke on the condition of anonymity to discuss the internal deliberations.Hours earlier, senior U.S. officials said satellite imagery and other intelligence showed the strike was inconsistent with one launched from Yemen, where Iranian-backed Houthi rebels had claimed responsibility.Iran, meanwhile, called the U.S. claims ""maximum lies,"" while a commander in its paramilitary Revolutionary Guard reiterated its forces could strike U.S. military bases across the Mideast with their arsenal of ballistic missiles.The U.S. government produced satellite photos showing what officials said were at least 19 points of impact at two Saudi energy facilities, including damage at the heart of the kingdom's crucial oil processing plant at Abqaiq. Officials said the photos show impacts consistent with the attack coming from the direction of Iran or Iraq, rather than from Yemen to the south.Iraq denied Sunday that its territory was used for an attack on the Kingdom and U.S. officials said a strike from there would be a violation of Iraq's sovereignty.The U.S. officials said additional devices, which apparently didn't reach their targets, were recovered northwest of the facilities and are being jointly analyzed by Saudi and American intelligence. The officials, who spoke on condition of anonymity to discuss intelligence matters, did not address whether the drone could have been fired from Yemen, then taken a round-about path, but did not explicitly rule it out.The attacks and recriminations are increasing already heightened fears of an escalation in the region, after a prominent U.S. senator suggested striking Iranian oil refineries in response to the assault, and Iran warned of the potential of more violence.""Because of the tension and sensitive situation, our region is like a powder keg,"" said Iranian Brig. Gen. Amir Ali Hajizadeh. ""When these contacts come too close, when forces come into contact with one another, it is possible a conflict happens because of a misunderstanding.""Actions on any side could break into the open a twilight war that's been raging just below the surface of the wider Persian Gulf in recent months. Already, there have been mysterious attacks on oil tankers that America blames on Tehran, at least one suspected Israeli strike on Shiite forces in Iraq, and Iran shooting down a U.S. military surveillance drone.The attack Saturday on Saudi Arabia's Abqaiq plant and its Khurais oil field led to the interruption of an estimated 5.7 million barrels of the kingdom's crude oil production per day, equivalent to more than 5% of the world's daily supply. It remained unclear how King Salman and his assertive son, Crown Prince Mohammed bin Salman, will respond to an attack targeting the heart of the Saudi oil industry.Crude oil futures shot up 9.5% to $60 as trading opened Sunday evening in New York, a dramatic increase. A spike in oil prices could have negative effects for the global economy.Saudi Arabia has promised to fill in the cut in production with its reserves, but has not said how long it will take to repair the damage. The Wall Street Journal cited Saudi officials as saying a third of output would be restored on Monday, but a return to full production may take weeks.Trump said he had approved the release of U.S. strategic petroleum reserves ""if needed"" to stabilize energy markets. The president said the final amount of the release, if any, would be ""sufficient to keep the markets well-supplied.""Images from the European Commission's Sentinel-2 satellite examined by the AP showed black char marks at the heart of the Abqaiq plant on Sunday, marks not seen over the prior month. Identical marks are visible on the U.S. imagery. The Washington-based Center for Strategic and International Studies in August identified the area with the char marks as the plant's stabilization area. The center said the area includes ""storage tanks and processing and compressor trains — which greatly increases the likelihood of a strike successfully disrupting or destroying its operations.""The state-run oil giant Saudi Aramco, which the kingdom hopes to offer a sliver of in a public stock offering, did not respond to a request for comment.Pompeo directly blamed Iran for the Saudi attack on Twitter late Saturday, and officials worked to provide evidence for his claim the following day.""Amid all the calls for de-escalation, Iran has now launched an unprecedented attack on the world's energy supply,"" Pompeo wrote. ""There is no evidence the attacks came from Yemen.""The U.S., Western nations, their Gulf Arab allies and U.N. experts say Iran supplies the Houthis with weapons and drones — a charge that Tehran denies.U.S. officials previously alleged at least one recent drone attack on Saudi Arabia came from Iraq, where Iran backs Shiite militias. Those militias in recent weeks have been targeted themselves by mysterious airstrikes, with at least one believed to have been carried out by Israel.Iranian Foreign Ministry spokesman Abbas Mousavi on Sunday dismissed Pompeo's remarks as ""blind and futile comments.""""The Americans adopted the 'maximum pressure' policy against Iran, which, due to its failure, is leaning toward 'maximum lies,'"" Mousavi said in a statement.Separately, Iraqi Prime Minister Adel Abdul-Mahdi's office issued a statement on Sunday denying the drone attack came from there. Oil-rich Kuwait also said it would increase security around the country's ""vital sites"" over the attacks.Houthi leader Muhammad al-Bukhaiti reiterated his group's claim of responsibility, telling The Associated Press on Sunday it exploited ""vulnerabilities"" in Saudi air defenses to strike the targets. He did not elaborate.Iran, meanwhile, kept up its own threats.Hajizadeh, the brigadier general who leads the country's aerospace program, said in an interview published across Iranian media Sunday that Revolutionary Guard forces were ready for a counterattack if America responded, naming the Al-Udeid Air Base in Qatar and Al-Dhafra Air Base near Abu Dhabi in the United Arab Emirates as immediate targets, as well as U.S. Navy ships in the Persian Gulf and the Arabian Sea.""Wherever they are, it only takes one spark and we hit their vessels, their air bases, their troops,"" he said in a video published online with English subtitles.It wasn't just Iran making threats. U.S. Sen. Lindsey Graham, a South Carolina Republican close to Trump, suggested retaliatory strikes targeting Iran. ""Iran will not stop their misbehavior until the consequences become more real, like attacking their refineries, which will break the regime's back,"" Graham wrote on Twitter.With the U.N. General Assembly taking place in a little over a week, there had been speculation of a potential meeting between Trump and Iranian President Hassan Rouhani on the summit's sidelines, possibly in exchange for the lifting of some economic sanctions the American leader imposed on Tehran after unilaterally withdrawing from the nuclear accord over a year ago.But Trump seemed to reject that idea Sunday night, tweeting: ""The Fake News is saying that I am willing to meet with Iran, 'No Conditions.' That is an incorrect statement (as usual!)."" In fact, Treasury Secretary Steven Mnuchin told reporters last week that ""the president has said that he is prepared to meet with no conditions.""If Iran had a hand in Saturday's attack, it could be to bolster their position ahead of any talks, analysts say.""The main point for Iran, in my opinion, is not necessarily to derail a meeting between Trump and Rouhani but to increase its leverage ahead of it,"" said Michael Horowitz, the head of intelligence at the Bahrain-based risk management firm Le Beck International. ""By carrying out such a major attack, Iran wants to send the message that the only way to decrease tensions is to comply with its demands regarding sanctions relief.""However, he warned there could be a danger of Iran ""overplaying"" its hand.""There will be no political benefit for Trump in a meeting with Rouhani if this meeting sends the message that the U.S. simply surrendered to Iranian demands,"" he said."
网站,Trump authorizes release of oil from strategic petroleum reserve after attacks on Saudi oil facilities,"U.S. President Donald Trump speaks to reporters before leaving the White House in Washington D.C. Sept. 12, 2019. [Photo/Xinhua]U.S. President Donald Trump said on Sunday that he has authorized the release of oil from the Strategic Petroleum Reserve after attacks on Saudi Arabian oil production facilities.""Based on the attack on Saudi Arabia, which may have an impact on oil prices, I have authorized the release of oil from the Strategic Petroleum Reserve, if needed, in a to-be-determined amount sufficient to keep the markets well-supplied,"" Trump tweeted.""I have also informed all appropriate agencies to expedite approvals of the oil pipelines currently in the permitting process in Texas and various other States,"" the president added.The move came after drone attacks on Saudi Arabian oil production facilities on Saturday have raised global concerns over oil supplies.The drone attacks were reported at dawn of Saturday with several explosions on Saudi Aramco plants in Khurais and Abqaiq in the east of the country, resulting in fires that were later controlled.Saudi Arabian Energy Minister Abdulaziz bin Salman Al Saud announced on Sunday that the drone attacks caused temporary suspension of production at targeted oil plants.According to Aramco, after Saturday's attacks, Saudi Arabia saw production cut by 5.7 million barrels, or about 50 percent of the company's daily production.The country's total production hovers around 10 million barrels per day, with an average of 9.85 million barrels per day in August, data from the U.S. Energy Information Administration show.The international community has voiced its condemnation of the attacks and an investigation has been launched, according to the Saudi Interior Ministry.Trump tweeted on Sunday that his administration is waiting to hear from Saudi Arabia as to who they believe was the cause of this attack, and under what terms the United States would proceed.U.S. oil futures advanced about 12 percent to 61.60 U.S. dollars a barrel shortly after trading opened Sunday evening, while Brent crude futures soared 13 percent to nearly 69 dollars a barrel, The Wall Street Journal reported.Follow China.org.cn on Twitter and Facebook to join the conversation.ChinaNews App Download"
网站,"Trump urges GM, union to reach deal as strike set to start","Video PlayerCloseWASHINGTON, Sept. 15 (Xinhua) -- U.S. President Donald Trump on Sunday urged automaker General Motors (GM) and the United Auto Workers (UAW) to reach an agreement to resolve their differences, as a union-led strike looms.""Here we go again with General Motors and the United Auto Workers,"" Trump tweeted. ""Get together and make a deal!""UAW said in a statement earlier in the day that its members at GM will go on strike midnight Monday to secure fair wages, affordable healthcare, proper profit sharing, job security, as well as a path toward permanent seniority for temporary workers.""We stood up for General Motors when they needed us most,"" said Terry Dittes, UAW vice president and head of the union's GM department.""Now we are standing together in unity and solidarity for our Members, their families and the communities where we work and live,"" Dittes added.A 2015 contract between the union and the auto giant expired midnight Sunday and negotiations between the two parties had broken down, which triggers the strike.GM issued a statement Sunday, offering UAW a solution that includes 7 billion U.S. dollars in investment and 5,400 jobs at its U.S. plants.It also pledged ""wage or lump sum increases in all four years"" of a contract, an improved profit sharing formula, and a ratification payment of 8,000 dollars per member, among others.""We urged the UAW leadership to extend bargaining to prevent a strike and we are prepared to negotiate around the clock,"" GM said in the statement.UAW said Sunday it would resume talks with GM on Monday morning but still go on strike as planned, according to media reports citing a UAW spokesperson.Dittes told CBS News that he hoped the talks would be productive and result in ""a mutual agreement that is good for everyone involved,"" the news channel reported."
